F,I
1,646.1765
2,678.0588
3,749.647
4,848.4706
5,897.0588
6,1005.7647
7,1100.3529
8,1109.9412
9,1135.2354
10,1112.6471
11,964.2941
12,903.5294
13,731.5883
14,652.2941
15,627.9412
16,724.1177
17,786.5294
18,871.353
19,941.8823
20,1036.4706
21,1096.5294
22,1115.9412
23,1120.2354
24,1101.0588
25,942.1765
26,837.0588
27,683
28,625.1177
29,640.4117
30,723.5883
31,813.1177
32,892.5883
33,957.1765
34,1033.3529
35,1114.7646
36,1100.8235
37,1103.5883
38,1008.0588
39,896.4706
40,744.353
41,643.1765
42,626.5883
43,701.0588
44,783.8823
45,833.647
46,919.5883
47,1029.4117
48,1093.8235
49,1127.0588
50,1133.2941
51,1081.4706
52,963.647
53,888.4117
54,747.8235
55,637.4117
56,631.2353
57,704.353
58,787.4117
59,853
60,929.7647
61,1016.1177
62,1086.0588
63,1132.1177
64,1125.2354
65,1081.8235
66,959.5883
67,844.5883
68,693.8235
69,643.8823
70,655.1765
71,749.647
72,812
73,886.5883
74,954.2941
75,1052.7059
76,1132.8235
77,1116.5883
78,1117.6471
79,1038.5294
80,890.0588
81,754.353
82,642.8823
83,629.2941
84,678
85,760.8235
86,856.8235
87,929.1765
88,1014.7647
89,1066.1177
90,1109.1177
91,1120.8823
92,1075.1765
93,927.5294
94,844.1177
95,694
96,639.8235
97,675.4117
98,750.8823
99,828.647
100,888.4706
101,980.5294
102,1050.7646
103,1119.6471
104,1148.4706
105,1126.7646
106,1003.2941
107,916.1765
108,853.1177
109,814.5883
110,771.2353
111,674.1177
112,626.1765
113,655.4706
114,736.8235
115,818.2353
116,884.9412
117,950.5883
118,1033.1177
119,1076.6471
120,1123.1177
121,1091.9412
122,995.5883
123,915.647
124,753.1177
125,661.647
126,634.0588
127,699.8235
128,799.8823
129,843.9412
130,925.2353
131,976.7059
132,1072.6471
133,1125.8823
134,1086.4706
135,1099.2941
136,935.5883
137,820.2941
138,678.353
139,642.0588
140,672.2353
141,741.2353
142,821.353
143,894.8823
144,979.8823
145,1083.7059
146,1118.4706
147,1114.2941
148,1137.2354
149,1028.7059
150,884
151,768
152,672.8235
153,643.4117
154,694.1765
155,758.2941
156,842.647
157,911.2941
158,1011.647
159,1088.2354
160,1119.8823
161,1144.7059
162,1085.4706
163,948.0588
164,861.8823
165,703.4706
166,658.4117
167,668.647
168,731.1765
169,808.353
170,876.8823
171,973.2941
172,1065.4706
173,1105.0588
174,1121.5883
175,1123.2941
176,1029.6471
177,908.4706
178,824.9412
179,677.0588
180,638.353
181,684.647
182,736
183,839.5294
184,899
185,1005.4117
186,1074.0588
187,1121.5883
188,1123
189,1128.3529
190,1013
191,918.353
192,763.647
193,651
194,656.647
195,704.4117
196,769.0588
197,860.8235
198,914.2941
199,1030.7059
200,1105.6471
201,1126.1765
202,1104.7059
203,1088.9412
204,938.2941
205,863.2353
206,711.4706
207,636.7647
208,644.4117
209,720
210,822.8235
211,889.5294
212,980.4706
