F,I
1,1347.7
2,1363.6
3,1286.4
4,1146.2
5,886.8
6,835.3
7,859.6
8,914.3
9,1003.2
10,1114.6
11,1219.7
12,1284.1
13,1345.6
14,1358.2
15,1332.7
16,1335.6
17,1296.5
18,1151.7
19,914.6
20,847.6
21,831.9
22,835.3
23,965.2
24,1100.1
25,1180.1
26,1278.6
27,1360
28,1370.6
29,1321.4
30,1337
31,1266
32,1224.9
33,955.8
34,840.3
35,838.1
36,851.4
37,938
38,1069.2
39,1139.8
40,1270.5
41,1313.7
42,1358.6
43,1319.5
44,1323.3
45,1339.2
46,1266.8
47,1095.8
48,878.2
49,850
50,847
51,902
52,973.6
53,1123.8
54,1218.3
55,1300
56,1344.6
57,1344.8
58,1320.3
59,1330
60,1225.5
61,1153.8
62,897.9
63,834.1
64,863.3
65,908.9
66,972
67,1096.5
68,1204.1
69,1321.3
70,1369.6
71,1339.5
72,1343.4
73,1362.3
74,1271.1
75,1190.2
76,949.5
77,843.7
78,849
79,873
80,964.8
81,1088
82,1180.1
83,1259.8
84,1369.3
85,1381.2
86,1352
87,1356.8
88,1324.5
89,1224.1
90,975.9
91,858.3
92,857.1
93,916
94,975.5
95,1046.3
96,1161.3
97,1270.3
98,1353.1
99,1381.8
100,1368.4
101,1328.4
102,1357.8
103,1244.3
104,1028.7
105,874.8
106,830.9
107,884.6
108,952.8
109,1051.5
110,1149.2
111,1222.6
112,1295.3
113,1378.8
114,1335.7
115,1338.2
116,1350.4
117,1243.6
118,1048.4
119,870.4
120,855.3
121,858.9
122,951.8
123,1027.6
124,1098.7
125,1215
126,1322.4
127,1387.1
128,1343.6
129,1357.7
130,1366.9
131,1290.1
132,1137.4
133,920
134,847.8
135,866.5
136,950.5
137,1024.6
138,1114.1
139,1224.4
140,1342
141,1390.4
142,1387.1
143,1360.4
144,1316
145,1282.4
146,1156.7
147,949.9
148,880.8
149,853.8
150,875.1
151,1003.4
152,1108.2
153,1172.6
154,1253.3
155,1343.3
156,1360
157,1350
158,1360.5
159,1323.8
160,1198.4
161,969.1
162,845.9
163,840.9
164,899
165,981.7
166,1095.8
167,1180.6
168,1273.8
169,1367.1
170,1394.9
171,1346.1
172,1382.9
173,1322
174,1235.5
175,1009.6
176,858.7
177,849.4
178,876.5
179,962.6
180,1085.1
181,1149.3
182,1270.2
183,1341.2
184,1370.1
185,1364.7
186,1385.6
187,1359.9
188,1268
189,1044.9
190,874.8
191,841.9
192,870.3
193,926.9
194,1040.3
195,1121.8
196,1226.4
197,1292
198,1367.6
199,1342.1
200,1335.1
201,1355.8
202,1261.9
203,1033.9
204,865.1
205,834.5
206,840.7
207,944.1
208,1047.9
209,1144
210,1272
211,1346.4
212,1393.8
213,1356.9
214,1361.9
215,1350.6
216,1266.2
217,1048.9
218,858.8
219,840.9
220,862
221,938
222,1015.9
223,1137.5
224,1224.9
225,1320
226,1353.3
227,1364
228,1385.4
229,1375.1
230,1277
231,1077.9
232,865.5
233,850.5
234,850
235,936.2
236,1051.6
237,1147.6
238,1216.3
239,1333.8
240,1391.2
241,1349.3
242,1338.2
243,1355.3
244,1300.2
245,1100.2
246,880.4
247,843.6
248,872.1
249,904.9
250,1019.4
251,1124.2
252,1222.5
253,1327.9
254,1404.2
255,1424.8
256,1336.2
