F,I
440,1434.0625
441,1420.9375
442,1346.0625
443,1293.625
444,1257
445,1231.5
446,1218.0625
447,1193.1875
448,1108
449,1006.375
450,901.9375
451,939.3125
452,1096.1875
453,1220.5
454,1382.75
455,1420.6875
456,1462.6875
457,1451
458,1400.625
459,1369.6875
460,1315.3125
461,1298.8125
462,1251.1875
463,1238.6875
464,1226.875
465,1196.0625
466,1116.75
467,1019.75
468,866.8125
469,892.5
470,988.4375
471,1106.0625
472,1243.4375
473,1375.9375
474,1442.75
475,1447.1875
476,1439.5
477,1385.625
478,1336.5625
479,1330.625
480,1289.3125
481,1210.375
482,1211.1875
483,1167.1875
484,1123.6875
485,1085.8125
486,990.625
487,898.375
488,863.75
489,939.25
490,1071.125
491,1244.25
492,1366.9375
493,1482.125
494,1444.125
495,1445.8125
496,1398.6875
497,1366.4375
498,1322.9375
499,1274.0625
500,1236
501,1203.3125
502,1194.4375
503,1183.3125
504,1141.8125
505,1025.9375
506,911.875
507,825.5
508,936.6875
509,1010.4375
510,1240.125
511,1352
512,1468.8125
513,1440.3125
514,1457.4375
515,1394.625
516,1348.875
517,1311.5625
518,1264.5625
519,1265.8125
520,1244.1875
521,1204.625
522,1184.25
523,1152.4375
524,1060.4375
525,964.5
526,835.9375
527,940.75
528,1061.5
529,1225.6875
530,1348.5625
531,1418.375
532,1453.875
533,1478.125
534,1434.4375
535,1368.4375
536,1326.9375
537,1280.3125
538,1261.375
539,1214.0625
540,1213.5625
541,1138
542,1106.875
543,947.0625
544,879.875
545,963.6875
546,1072.125
547,1255.375
548,1396.8125
549,1454.625
550,1458.625
551,1467.4375
552,1398.9375
553,1377.4375
554,1310.875
555,1267
556,1243.9375
557,1222
558,1187.1875
559,1153.5625
560,1077.125
561,1005.9375
562,881.75
563,962.8125
564,1095.625
565,1236.0625
566,1387.5
567,1437.75
568,1455.5625
569,1437.5
570,1424.5
571,1363.8125
572,1319.6875
573,1280.9375
574,1246.4375
575,1231.875
576,1228.0625
577,1191.3125
578,1177.8125
579,1142.5
580,1141.625
581,1105.0625
582,1049.625
583,932.9375
584,820.0625
585,928.125
586,1003.6875
587,1167.5
588,1277.0625
589,1410
590,1456.4375
591,1467.875
592,1411.375
593,1392.3125
594,1334.5
595,1283.1875
596,1253.9375
597,1232
598,1222.6875
599,1175.6875
600,1168.875
601,1132.1875
602,1108.1875
603,1069.75
604,993.5625
605,878.5625
606,878.875
607,938.4375
608,1068.75
609,1246.5625
610,1365.6875
611,1437
612,1471.4375
613,1411.375
614,1404.4375
615,1341.0625
616,1305.375
617,1257.6875
618,1229.625
619,1199.9375
620,1149.4375
621,1111.75
622,981.875
623,872.125
624,922.0625
625,1038.4375
626,1165.0625
627,1309.0625
628,1403.75
629,1455.875
630,1444.875
631,1440.25
632,1378.875
633,1319.0625
634,1324.4375
635,1245.9375
636,1240.3125
637,1228.25
638,1214.4375
639,1167.625
640,1115.375
641,1009.3125
642,871.6875
643,913
644,1014.125
645,1148.0625
646,1293.4375
647,1402.4375
648,1450.3125
649,1438.875
650,1394.1875
651,1383.3125
652,1330.0625
653,1291.4375
654,1275.75
655,1213.1875
656,1210.25
657,1187.375
658,1140.1875
659,1092.1875
660,1052.6875
661,904.1875
662,911.25
663,1006.875
664,1164.5625
665,1272.9375
666,1440.5625
667,1479.0625
668,1438.5625
669,1422
670,1344.5
671,1341.375
672,1261.9375
673,1278.6875
674,1235.1875
675,1221.125
