F,I
1,1243.5
2,1076.3
3,835.8
4,811.8
5,871
6,966.9
7,1052.2
8,1140.2
9,1283.1
10,1382.3
11,1475.2
12,1413
13,1385.8
14,1388.4
15,1358.3
16,1274.4
17,1205
18,925.1
19,829.4
20,842.1
21,917.5
22,1027.2
23,1100.6
24,1232.9
25,1359.4
26,1465.1
27,1483.8
28,1436.1
29,1441
30,1391.3
31,1296.4
32,1233.2
33,1226.3
34,1173.7
35,1184
36,1154.2
37,1152.8
38,1115.6
39,1113.6
40,955.3
41,814.7
42,814.8
43,881.5
44,1023.1
45,1122.3
46,1240.6
47,1374.6
48,1476.9
49,1516.8
50,1456.7
51,1462.3
52,1382.2
53,1327.9
54,1246.2
55,1166.6
56,1042.1
57,806.3
58,824.6
59,875.3
60,986.4
61,1069.7
62,1193.5
63,1327.7
64,1424.1
65,1516.7
66,1427.7
67,1393.5
68,1399.4
69,1374.2
70,1257.8
71,1193.6
72,1171.5
73,1047.3
74,836.3
75,797.8
76,872.2
77,968.3
78,1072.8
79,1171.5
80,1262.2
81,1388.9
82,1461
83,1405.9
84,1448.8
85,1449.2
86,1372.6
87,1291.5
88,1214.4
89,1008
90,831.8
91,819.7
92,876.3
93,997.2
94,1088.8
95,1149.8
96,1287.6
97,1392.3
98,1473.1
99,1452.7
100,1377.8
101,1397
102,1331
103,1236.9
104,1179.7
105,968.8
106,811.6
107,820.1
108,867.6
109,1003.4
110,1105.8
111,1160
112,1314.1
113,1434.3
114,1406.9
115,1389.5
116,1399.7
117,1399.2
118,1309.7
119,1266.3
120,1229.5
121,1174.7
122,1135.1
123,849.8
124,800.9
125,830.5
126,930.9
127,1044.4
128,1143.5
129,1220.2
130,1374.9
131,1467.4
132,1445.7
133,1415.2
134,1419
135,1340.1
136,1287.1
137,1237.5
138,1155.3
139,1082.2
140,881.2
141,808
142,850.1
143,956.5
144,1038.6
145,1111.8
146,1253.3
147,1355.4
148,1474.6
149,1472
150,1402.8
151,1444.9
152,1353.7
153,1292.9
154,1233.3
155,1192.7
156,1159.6
157,1095.2
158,866.6
159,788.8
160,825.3
161,949
162,1053.9
163,1137.4
164,1267.6
165,1413.4
166,1536.9
167,1520.4
168,1445.9
169,1394.6
170,1353.8
171,1268.7
172,1225.6
173,1157.2
174,942.1
175,797.5
176,819
177,901.7
178,1027.1
179,1075.8
180,1206.4
181,1266.8
182,1393.3
183,1415.8
184,1444.8
185,1423.4
186,1390.1
187,1343.3
188,1279.5
189,1194
190,944.5
191,844
