Frame,Mean
1,2460
2,2219
3,1947
4,1535
5,1568
6,1683
7,1631
8,1845
9,2304
10,2414
11,2576
12,2521
13,2365
14,2137
15,1544
16,1558
17,1580
18,1665
19,1831
20,2314
21,2446
22,2455
23,2334
24,2372
25,2093
26,1864
27,1535
28,1688
29,1661
30,1954
31,2276
32,2485
33,2655
34,2386
35,2522
36,2361
37,1872
38,1631
39,1608
40,1569
41,1891
42,2332
43,2532
44,2648
45,2479
46,2389
47,2174
48,2032
49,1646
50,1624
51,1699
52,1764
53,2178
54,2443
55,2495
56,2363
57,2456
58,2313
59,2040
60,1601
61,1742
62,1614
63,1714
64,2137
65,2348
66,2418
67,2526
68,2512
69,2306
70,1879
71,1471
72,1625
73,1608
74,1982
75,2078
76,2369
77,2487
78,2474
79,2398
80,2420
81,1876
82,1657
83,1559
84,1708
85,1785
86,2063
87,2413
88,2474
89,2498
90,2593
91,2334
92,2099
93,1714
94,1576
95,1590
96,1643
97,1951
98,2264
99,2413
100,2491
101,2452
102,2486
103,2183
104,1889
105,1473
106,1523
107,1754
108,1802
109,2183
110,2453
111,2498
112,2480
113,2477
114,2277
115,1834
116,1613
117,1639
118,1732
119,1922
120,2186
121,2597
122,2545
123,2398
124,2377
125,2405
126,1904
127,1627
128,1655
129,1546
130,1823
131,2073
132,2396
133,2550
134,2360
135,2439
136,2337
137,1996
138,1694
139,1480
140,1605
141,1770
142,2185
143,2344
144,2556
145,2430
146,2339
147,2213
148,1948
149,1613
150,1685
151,1685
152,1669
153,2104
154,2269
155,2518
156,2558
157,2463
158,2331
159,1913
160,1651
161,1552
162,1682
163,1656
164,2030
165,2317
166,2409
167,2556
168,2410
169,2459
170,2160
171,1750
172,1489
173,1567
174,1620
175,1829
176,2262
177,2457
178,2520
179,2448
180,2421
181,2323
182,2003
183,1621
184,1441
185,1633
186,1617
187,1788
188,2388
189,2431
190,2444
191,2238
192,2509
193,2205
194,1677
195,1528
196,1554
197,1734
198,1879
199,2309
200,2486
201,2506
202,2362
203,2437
204,2173
205,1821
206,1612
