Frame,Mean
1,2328
2,2413
3,2442
4,2540
5,2528
6,2308
7,1621
8,1540
9,1637
10,1620
11,1943
12,2233
13,2433
14,2533
15,2383
16,2613
17,2378
18,1774
19,1444
20,1609
21,1680
22,1968
23,2214
24,2403
25,2555
26,2489
27,2661
28,2665
29,1884
30,1626
31,1471
32,1617
33,1923
34,2126
35,2408
36,2400
37,2605
38,2573
39,2586
40,1701
41,1433
42,1488
43,1636
44,1748
45,2271
46,2421
47,2332
48,2542
49,2474
50,2676
51,2185
52,1750
53,1641
54,1537
55,1752
56,2056
57,2207
58,2340
59,2511
60,2595
61,2501
62,2251
63,1701
64,1504
65,1537
66,1728
67,1951
68,2120
69,2513
70,2515
71,2629
72,2556
73,2621
74,1793
75,1573
76,1530
77,1527
78,1984
79,2233
80,2399
81,2561
82,2513
83,2527
84,2467
85,1734
86,1640
87,1448
88,1515
89,1838
90,1978
91,2133
92,2500
93,2457
94,2617
95,2702
96,2413
97,1814
98,1593
99,1494
100,1692
101,2031
102,2190
103,2320
104,2632
105,2517
106,2581
107,2399
108,1685
109,1676
110,1710
111,1638
112,2032
113,2188
114,2373
115,2513
116,2480
117,2423
118,2380
119,1775
120,1553
121,1561
122,1657
123,2006
124,2136
125,2423
126,2394
127,2415
128,2340
129,2527
130,1752
131,1583
132,1461
133,1545
134,1797
135,2014
136,2195
137,2472
138,2558
139,2572
140,2871
141,2238
142,1635
143,1480
144,1640
145,1747
146,2096
147,2439
148,2390
149,2506
150,2555
151,2611
152,1906
153,1587
154,1538
155,1569
156,1614
157,2023
158,2376
159,2469
160,2561
161,2543
162,2397
163,2114
164,1593
165,1566
166,1646
167,1750
168,1944
169,2242
170,2459
171,2471
172,2332
173,2423
174,2377
175,1673
176,1505
177,1601
178,1616
179,2093
180,2235
181,2349
182,2578
183,2480
184,2484
185,2527
186,1745
187,1492
188,1500
189,1541
190,1759
191,2063
192,2340
193,2422
194,2541
195,2575
196,2776
197,2081
198,1776
199,1432
200,1626
201,1791
202,1920
203,2353
204,2496
205,2498
206,2657
207,2779
208,2320
209,1708
210,1672
211,1640
212,1577
213,1953
214,2121
215,2519
216,2659
217,2491
218,2551
219,2339
220,1630
221,1518
222,1517
223,1603
224,1928
225,2089
226,2329
227,2439
228,2469
229,2595
230,2601
231,1801
232,1662
233,1692
234,1611
235,1675
236,2090
237,2384
238,2507
239,2601
240,2580
241,2658
242,1782
243,1506
244,1406
245,1532
246,1830
247,1949
248,2295
249,2480
250,2463
251,2547
252,2582
253,2129
254,1538
255,1532
256,1689
257,1688
258,1920
259,2307
260,2302
261,2575
262,2569
263,2794
264,2537
265,1912
266,1565
267,1610
268,1583
269,1745
270,1975
271,2378
272,2534
273,2420
274,2474
275,2466
276,1694
277,1471
278,1473
279,1595
280,1843
281,2270
282,2424
283,2413
284,2509
285,2544
286,2444
287,1855
288,1523
289,1519
290,1594
291,1868
292,2091
293,2371
294,2531
295,2418
296,2445
297,2619
298,1876
299,1635
300,1636
301,1674
302,1733
303,2224
304,2488
305,2398
306,2497
307,2448
308,2595
309,2097
310,1510
311,1417
312,1625
313,1709
314,1926
315,2217
316,2431
317,2532
318,2490
319,2478
320,2280
321,1643
322,1488
323,1448
324,1529
325,1926
326,2100
327,2431
328,2442
329,2491
330,2698
331,2619
332,1779
333,1544
334,1609
335,1526
336,1974
337,2039
338,2432
339,2536
340,2431
341,2451
342,2598
343,1849
344,1605
345,1482
346,1524
347,1689
348,2044
349,2431
350,2527
351,2484
352,2467
353,2496
354,2043
355,1515
356,1521
357,1524
358,1703
359,2013
360,2390
361,2344
362,2580
363,2630
364,2723
365,2431
366,1673
367,1488
