Frame,Mean
1,2368
2,2650
3,2847
4,3100
5,3474
6,2952
7,1952
8,1666
9,1690
10,2003
11,2286
12,2639
13,2896
14,3243
15,3187
16,2839
17,1997
18,1735
19,1803
20,1969
21,2072
22,2676
23,2880
24,3241
25,3327
26,3108
27,2189
28,1892
29,1754
30,1907
31,2229
32,2721
33,2945
34,3228
35,3391
36,3084
37,2342
38,1696
39,1658
40,2007
41,2114
42,2498
43,2719
44,3353
45,3344
46,3306
47,2557
48,1930
49,1716
50,1771
51,2411
52,2633
53,2904
54,2922
55,3361
56,3119
57,2636
58,1980
59,1866
60,1798
61,2033
62,2455
63,2741
64,3380
65,3434
66,3211
67,3056
68,2268
69,2008
70,1715
71,1979
72,2353
73,2531
74,2902
75,3288
76,3328
77,3131
78,2087
79,1801
80,1507
81,1934
82,2246
83,2681
84,2821
85,3266
86,3166
87,3061
88,2349
89,1964
90,1661
91,1867
92,2133
93,2570
94,2889
95,3276
96,3362
97,3011
98,2330
99,2130
100,1914
101,1840
102,2245
103,2635
104,2941
105,3158
106,3224
107,3003
108,2335
109,1731
110,1587
111,1840
112,2078
113,2608
114,2893
115,3664
116,3396
117,3142
118,2832
119,2090
120,1835
121,1759
122,2037
123,2276
124,2574
125,3019
126,3193
127,3159
128,2827
129,1959
130,1648
131,1623
132,2038
133,2324
134,2664
135,3187
136,3148
137,3387
138,3130
139,2249
140,1527
141,1533
142,1716
143,2224
144,2678
145,3085
146,3207
147,3342
148,3120
149,2422
150,1683
151,1615
152,1748
153,2162
154,2627
155,2866
156,3097
157,3519
158,3327
159,2549
160,1899
161,1743
162,1726
163,2006
164,2590
165,2767
166,3104
167,3487
168,3193
169,2684
170,1737
171,1653
172,1695
173,2185
174,2418
175,2724
176,3212
177,3249
178,3192
179,3012
180,1974
181,1692
182,1555
183,1984
184,2258
185,2646
186,3186
187,3093
188,3475
189,3139
190,1880
191,1692
192,1637
193,1890
194,2324
195,2668
196,2966
197,3158
198,3233
199,3017
200,1992
201,1538
202,1417
203,1553
204,1819
205,2183
206,2556
207,2569
208,2615
209,2430
210,1824
211,1337
212,1360
213,1416
214,1586
215,1928
216,2285
217,2394
218,2551
219,2465
220,2079
221,1412
222,1449
223,1551
224,1782
225,2211
226,2438
227,2848
228,2837
229,2930
230,2570
231,1781
232,1643
233,1646
234,2097
235,2553
236,2726
237,2937
238,3027
239,2904
240,2462
241,1638
242,1661
243,1796
244,1956
245,2401
246,2627
247,2716
248,3017
249,3049
250,2688
251,1892
252,1703
253,1601
254,1950
255,2319
256,2591
257,2874
258,3317
259,3192
260,2824
261,1988
262,1772
263,1616
264,1831
265,2230
266,2383
267,2902
268,3010
269,2915
270,2942
271,1896
272,1578
273,1632
274,2035
275,2353
276,2595
277,2804
278,2985
279,2982
280,2904
281,2139
282,1750
283,1453
284,1794
285,2104
286,2412
287,2924
288,3046
289,3349
290,3138
291,2163
292,1643
293,1587
294,1716
295,2193
296,2572
297,2760
298,3088
299,3069
300,3276
301,2332
302,1586
303,1559
304,1818
305,2087
306,2827
307,2927
308,3277
309,3361
310,3319
311,2373
312,1666
313,1678
314,1864
315,2301
316,2361
317,2689
318,3142
319,3162
320,3016
321,2668
322,1685
323,1622
324,1752
325,1890
326,2447
327,2812
328,3302
329,3321
330,3471
331,2791
332,1765
333,1590
334,1606
335,1952
336,2347
337,2655
338,3091
339,3303
340,3072
341,2851
342,1912
343,1940
344,1676
345,2070
346,2399
347,2693
348,3149
349,3356
350,3444
351,2959
352,2075
353,1690
354,1607
355,2009
356,2320
357,2604
358,3059
359,3195
360,3203
361,3068
362,2345
363,1854
364,1758
365,1793
366,2240
367,2647
368,2880
369,3283
370,3434
371,2995
372,2307
373,1914
374,1776
375,1972
376,2049
377,2542
378,2832
379,3195
380,3303
381,3200
382,2552
383,1716
384,1616
385,1831
386,2180
387,2671
388,2793
389,3012
390,3133
391,3287
392,2542
393,2040
394,1661
395,1772
396,2072
397,2404
398,2780
399,3013
400,3234
401,3271
402,2855
403,1726
404,1663
405,1611
406,1982
407,2405
408,2618
409,2922
410,3040
411,3277
412,3111
413,2081
414,1551
415,1633
416,1845
417,2256
418,2715
419,3022
420,3362
421,3421
422,3125
423,2104
424,1698
425,1582
426,1768
427,2314
428,2611
429,3041
430,3100
431,3042
432,3224
433,2275
434,1648
435,1483
436,1708
437,2209
438,2601
439,3014
440,3378
441,3410
442,3205
443,2321
444,1692
445,1666
446,1581
447,2142
448,2315
449,2702
450,3017
451,3059
452,3185
453,2571
454,1875
455,1684
456,1809
457,1997
458,2500
459,2797
460,3096
461,3181
462,3311
463,2614
464,1725
465,1720
466,1653
467,2062
468,2489
469,2730
470,3136
471,3660
472,3149
473,2843
474,2389
475,1808
476,1773
477,2052
478,2298
479,2810
480,2931
481,3332
482,3398
483,3106
484,1982
485,1672
486,1665
487,1843
488,2310
489,2682
490,2980
491,3182
492,3230
493,3392
494,2352
495,1820
496,1732
497,1858
498,2047
499,2663
500,2930
501,3322
502,3273
503,2959
504,2481
505,1913
506,1605
507,1893
508,2510
509,2798
510,3008
511,3135
512,3270
513,3126
514,2102
515,1745
516,1597
517,1888
518,2127
519,2714
520,3065
521,3200
522,3272
523,3143
524,2411
525,2130
526,1838
527,1731
528,2141
529,2576
530,2863
531,3128
532,3202
533,2981
534,2330
535,1647
536,1592
537,1649
538,2133
539,2479
540,2963
541,3535
542,3381
543,3233
544,2649
545,1956
546,1694
547,1650
548,1934
549,2372
550,2840
551,3232
552,3319
553,3244
554,2887
555,1709
556,1687
557,1677
558,2063
559,2562
560,2818
561,3082
562,3321
563,3229
564,3089
565,2182
566,1623
567,1560
568,1942
569,2302
570,2742
571,3071
572,3514
573,3232
574,2978
575,1956
576,1609
577,1655
578,1850
579,2468
580,2653
581,3027
582,3084
583,3151
584,3099
585,2246
586,1727
587,1613
588,1903
589,2367
590,2827
591,3147
592,3482
593,3407
594,3288
595,2317
596,1625
597,1568
598,1703
599,2002
600,2431
601,2845
602,3210
603,3297
604,3348
605,2715
606,1667
607,1714
608,1652
609,2172
610,2491
611,2817
612,2917
613,3281
614,3212
615,2594
616,1705
617,1701
618,1829
619,1973
620,2333
621,2616
622,2960
623,3238
624,3096
625,3001
626,1720
627,1696
628,1610
629,1980
630,2067
631,2633
632,3111
633,3478
634,3341
635,2858
636,1914
637,1680
638,1659
639,1820
640,2189
641,2555
642,2832
643,3245
644,3330
645,3202
646,1950
647,1668
648,1538
649,1843
650,2012
651,2605
652,2754
653,3303
654,3293
655,3155
656,2507
657,2025
658,1608
659,1853
660,2135
661,2629
662,3043
663,3297
664,3392
665,3003
666,2472
667,1671
668,1569
669,1704
670,2155
671,2657
672,2714
673,3170
674,3306
675,3175
676,2625
677,1639
678,1729
679,1729
680,2208
681,2520
682,2877
683,3015
684,3525
685,3392
686,2810
687,1859
688,1547
689,1581
690,2076
691,2348
692,2797
693,3050
694,3253
695,3312
696,2837
697,1784
698,1742
699,1734
700,1957
701,2224
702,2794
703,3052
704,3041
705,3357
706,2909
707,2187
708,1634
709,1620
710,1795
711,2217
712,2615
713,2978
714,3138
715,3480
716,3304
717,2419
718,1789
719,1538
720,1728
721,2148
722,2736
723,2938
724,3267
725,3271
726,3036
727,2324
728,1776
729,1715
730,1723
731,2233
732,2555
733,3058
734,3053
735,3310
736,3154
737,2420
738,1867
739,1646
740,1816
741,2180
742,2451
743,2789
744,3477
745,3407
746,3191
747,2869
748,2015
749,1582
750,1629
751,2021
752,2321
753,2753
754,3321
755,3559
756,3128
757,2900
758,1740
759,1544
760,1587
761,1820
762,2423
763,2830
764,3084
765,3038
766,3132
767,3031
768,2234
769,1775
770,1598
771,1825
772,2420
773,2619
774,2798
775,3405
776,3319
777,3299
778,2172
779,1743
780,1573
781,1829
782,2214
783,2615
784,2856
785,3022
786,2952
787,3361
788,2540
789,1727
790,1704
791,1613
792,2211
793,2423
794,2806
795,3054
796,3406
797,3340
798,2709
799,1614
800,1590
801,1571
802,2004
803,2613
804,2866
805,3088
806,3399
807,3356
808,2940
809,2227
810,1851
811,1656
812,1918
813,2352
814,2917
815,3300
816,3550
817,3491
818,3081
819,1919
820,1650
821,1575
822,1852
823,2196
824,2896
825,3077
826,3474
827,3327
828,3235
829,2549
830,1787
831,1701
832,1994
833,2408
834,2784
835,2705
836,3214
837,3400
838,3311
839,2213
840,1651
841,1604
842,1664
843,2116
844,2780
845,2860
846,3714
847,3399
848,3228
849,2595
850,1984
851,1738
852,1675
853,2073
854,2571
855,2798
856,3145
857,3279
858,3380
859,2389
860,1735
861,1712
862,1660
863,2089
864,2515
865,2926
866,3113
867,3257
868,3087
869,2840
870,2162
871,1631
872,1702
873,2080
874,2519
875,2860
876,3323
877,3406
878,3483
879,2892
880,1702
881,1704
882,1769
883,1931
884,2548
885,2668
886,3047
887,3652
888,3254
889,2999
890,2235
891,1759
892,1614
893,1836
894,2343
895,2657
896,2800
897,3221
898,3286
899,3103
900,2274
901,1678
902,1525
903,1866
904,2203
905,2612
906,3132
907,3030
908,3463
909,3379
910,2326
911,1562
912,1715
913,1819
914,2086
915,2443
916,2847
917,3452
918,3282
919,3260
920,2650
921,1835
922,1812
923,1822
924,1933
925,2580
926,2884
927,3223
928,3261
929,3506
930,2694
931,1726
932,1635
933,1719
934,1966
935,2414
936,2908
