F,I
1,758.2143
2,743.4286
3,769.5714
4,776.7857
5,756.7143
6,773.2857
7,757.4286
8,753.5714
9,761.9286
10,759.2143
11,752.5714
12,770.2143
13,753
14,748.8571
15,761
16,742.3571
17,738.9286
18,761.0714
19,751.7857
20,774.5
21,755.5
22,773.7143
23,751.0714
24,752.4286
25,745.0714
26,750.8571
27,752.3571
28,753.5
29,765.7857
30,766.8571
31,756.3571
32,746.2857
33,759.5
34,744.7857
35,767
36,753.7143
37,765.6429
38,763.4286
39,761.6429
40,759.7143
41,764.2143
42,772.6429
43,768.4286
44,748.1429
45,770.7143
46,766.7143
47,748
48,767.0714
49,762.2857
50,771.5
51,731.7143
52,757.0714
53,752.6429
54,775.2857
55,727.5714
56,749.5
57,752.6429
58,775.8571
59,779.3571
60,763
61,753.7857
62,785.1429
63,776.3571
64,775.3571
65,777.6429
66,761.6429
67,773.7143
68,768.8571
69,770.2143
70,774.0714
71,774.4286
72,781.1429
73,773.8571
74,758.7857
75,765
76,773.8571
77,773.3571
78,776.6429
79,784.7143
80,769.1429
81,776.1429
82,774.5714
83,764.4286
84,762.2143
85,764.2143
86,760.5
87,767.2143
88,765
89,760.7143
90,779.2857
91,765.0714
92,775
93,786.1429
94,762.5
95,777.5714
96,775.2143
97,782.1429
98,773.1429
99,768.0714
100,767.5714
101,772.6429
102,777
103,773.5714
104,758.4286
105,791
106,761.5714
107,773.7143
108,768.9286
109,769.4286
110,773.2857
111,779.1429
112,766.2857
113,774.5
114,785.1429
115,753.7143
116,781.1429
117,762.3571
118,766.1429
119,752.8571
120,771.6429
121,780.2143
122,786.6429
123,787.7857
124,789.5714
125,787.2143
126,791.5
127,763.2857
128,763.2143
129,772.9286
130,775.2143
131,772.4286
132,773
133,777.0714
134,773.2857
135,773.5714
136,774.5714
137,781.3571
138,771.2143
139,781.2857
140,788.1429
141,774
142,791.8571
143,803.3571
144,768.7143
145,765.7857
146,777.2143
147,790.4286
148,782.6429
149,775
150,789.2143
151,810
152,783.8571
153,764.5714
154,772.5
155,786.4286
156,781.3571
157,758.8571
158,766.5714
159,781.9286
160,786.5714
161,782.2857
162,774.0714
163,761.6429
164,757.7143
165,774.3571
166,761.1429
167,780.7857
168,769.7857
169,781.8571
170,777.6429
171,778.2857
172,761
173,769.5714
174,784.5
175,780.5714
176,801.6429
177,776.7143
178,775.8571
179,775
180,788.5
181,791.1429
182,782.4286
183,790.4286
184,788.4286
185,789.4286
186,771.7143
187,770
188,774.4286
189,771.7857
190,779.7857
191,776.9286
192,774.5714
193,776.3571
194,800.4286
195,778.3571
196,782.6429
197,777.9286
198,780.7857
199,776.6429
200,760.7857
201,741.3571
202,791.2857
203,836.1429
204,900.2857
205,999.9286
206,1122.1428
207,1155.8572
208,1162
209,1180.2858
210,1183.5
211,1078.0714
212,1029.9286
213,1020.5714
214,994.5714
215,956.2857
216,934.5714
217,900.6429
218,897.7143
219,873.8571
220,851.3571
221,851.3571
222,848.6429
223,838.8571
224,850.9286
225,827.5714
226,822.5
227,860.5
228,847.6429
229,831.9286
230,834.7143
231,835.3571
232,793.3571
233,697.2143
234,635.5714
235,626.4286
236,684
237,709.6429
238,776.5714
239,891.1429
240,935.2857
241,1017.7143
242,1092.6428
243,1138.8572
244,1205.9286
245,1171
246,1122.2858
247,1063.7142
248,1030.5714
249,975.0714
250,923.5714
251,903.5
252,879.8571
253,879.5
254,849.9286
255,849.6429
256,845.5714
257,832.6429
258,824.0714
259,834.7857
260,820.5714
261,822.7857
262,835.5714
263,832
264,818.7857
265,822.7857
266,813.1429
267,827.5714
268,816.2143
269,816.3571
270,805.0714
271,808.5714
272,816.2857
273,808.7143
274,825
275,816.3571
276,812.6429
277,826.8571
278,813.1429
279,796.5714
280,796.0714
281,801.0714
282,821.4286
283,805.6429
284,799.2143
285,798.4286
286,784.6429
287,797
288,821.3571
289,824.0714
290,799.6429
291,800.9286
292,810.7857
293,818.2143
294,809.1429
295,800.8571
296,796.8571
297,801
298,798.4286
299,788.5714
300,807.3571
301,803.9286
302,814.9286
303,811
304,801.4286
305,810.5
306,791.8571
307,785.4286
308,803.7143
309,806.6429
310,788.0714
311,783.6429
312,796.5
313,791.9286
314,799.8571
315,801.5714
316,795.2143
317,783.4286
318,795.5
319,803.7143
320,806.2143
321,810.3571
322,812.0714
323,801.0714
324,801.5714
325,808.1429
326,795.2857
327,812.2857
328,795.5714
329,796.0714
330,811.7143
331,797.4286
332,790.2143
333,798.5
334,787.3571
