F,I
1,1361.125
2,1371.875
3,1384.375
4,1349.125
5,1261.75
6,1132.25
7,1010.625
8,966.75
9,950.125
10,1000.25
11,1088.875
12,1315.375
13,1331.625
14,1347.5
15,1480.25
16,1424
17,1403.125
18,1412.375
19,1363.125
20,1280.75
21,1207.375
22,1016.75
23,903.75
24,897.125
25,956.375
26,1028.75
27,1114.125
28,1249.125
29,1371.5
30,1582.25
31,1562.25
32,1640.375
33,1677
34,1594.25
35,1406.125
36,1161.875
37,1001.5
38,895
39,862.375
40,901.125
41,946.625
42,1034.625
43,1126.625
44,1259.25
45,1407
46,1502.875
47,1400.625
48,1418
49,1437.25
50,1357.75
51,1292.375
52,1148.125
53,997.125
54,1020.625
55,953.5
56,958.875
57,1049.5
58,1208.625
59,1351.375
60,1392.375
61,1475
62,1411.5
63,1410.875
64,1419.5
65,1413.625
66,1368
67,1304
68,1057.5
69,919.375
70,917.625
71,936.625
72,986.875
73,1088.5
74,1183.875
75,1279.5
76,1434.625
77,1495.5
78,1538.75
79,1438.75
80,1389.625
81,1374.375
82,1289.875
83,1113.625
84,1003
85,926.25
86,904.75
87,905
88,1021.125
89,1054
90,1153
91,1331
92,1434.5
93,1506.375
94,1501.75
95,1433.625
96,1411.625
97,1425.125
98,1320.875
99,1180.75
100,1011.75
101,961.875
102,941
103,971.5
104,1041.125
105,1140.625
106,1263.125
107,1382.5
108,1559
109,1726
110,1681.5
111,1493
112,1361.125
113,1320.5
114,1235.875
115,995.375
116,877.75
117,905.125
118,929.125
119,1020.125
120,1062
121,1184
122,1304
123,1447.375
124,1504.5
125,1518.875
126,1422.375
127,1398.125
128,1375.375
129,1291.25
130,1220.125
131,969.375
132,915
133,903.375
134,963
135,1059.125
136,1226
137,1357.875
138,1476.625
139,1535.375
140,1449.375
141,1437.5
142,1437
143,1337.875
144,1313.25
145,1257.5
146,1060.75
147,879.125
148,899
149,960.25
150,1001
151,1123.875
152,1244.125
153,1352.5
154,1474.125
155,1422.5
156,1450.75
157,1406.25
158,1449.625
159,1401.5
160,1235.625
161,1103.5
162,942
163,894.25
164,929.375
165,1003.375
166,1179.375
167,1308.5
168,1367.5
169,1581.75
170,1652.125
171,1449.125
172,1356.5
173,1460.25
174,1445.75
175,1376.625
176,1222.5
177,957.75
178,900
179,899.75
180,949.625
181,999.625
182,1132.75
183,1237.875
184,1354.75
185,1454
186,1468.75
187,1461.625
188,1562.875
189,1479.125
190,1322.375
191,1155
192,1046.625
193,889.375
194,880.25
195,911.375
196,1006.375
197,1085.5
198,1197.75
199,1348.125
200,1431.5
201,1461.25
202,1443.375
203,1422.75
204,1444.25
205,1418
206,1333.25
207,1258.5
208,1185.25
209,1039.5
210,986.5
211,1040.125
212,1208
213,1175.875
214,1466.125
215,1793.5
216,1931.125
217,1742.875
218,1458.125
219,1409.5
220,1408.625
221,1345.875
222,1207.5
223,985.125
224,906.25
225,899.375
226,923.5
227,958.875
228,1039.875
229,1150.875
230,1250.125
231,1416.875
232,1539.75
233,1501.375
234,1445.625
235,1403.625
236,1347.375
237,1281.125
238,1159.875
239,961.625
240,957.875
241,970.25
242,950.625
243,1056.875
244,1166.25
245,1303.25
246,1432.375
247,1557.625
248,1561.125
249,1496.5
250,1412
251,1373.125
252,1314.875
253,1203
254,1102.125
255,1000.375
256,1069.75
257,989.625
258,1073.625
259,1098.625
260,1223.25
261,1326
262,1432.125
263,1494
264,1449.5
265,1398.875
266,1414
267,1411
268,1293.75
269,1162.5
270,919.75
271,927.75
272,917
273,976.375
274,1051.875
275,1126.125
276,1501.75
277,1623.5
278,1685.75
279,1501.625
280,1400.75
281,1466.625
282,1428.5
283,1425.625
284,1268.625
285,992.125
286,867.25
287,876.25
288,923.25
289,989.5
290,1059
291,1150.375
292,1286.75
293,1412
294,1518.625
295,1522.25
296,1464.875
297,1430.25
298,1342.375
299,1307.25
300,1315
301,1188
302,1084
303,940.125
304,990.25
305,1085.625
306,1342.25
307,1626.625
308,1622.25
309,1560.875
310,1541.875
311,1351.25
312,1404.5
313,1417.375
314,1347.875
315,1277
316,1065.75
317,922.75
318,935
319,939
320,1003.75
321,1124
322,1163
323,1347.875
324,1467.25
325,1623.75
326,1608.5
327,1611.75
328,1449
329,1423.25
330,1337
331,1244.75
332,1104.75
333,1019.25
334,1000.25
335,1028.625
336,1170.5
337,1247.375
338,1374.625
339,1572.375
340,1958.875
341,1587.75
342,1395.25
343,1420.75
344,1453.25
345,1357
346,1253.125
347,1091
348,924.125
349,902.75
350,932.625
351,996.5
352,1065.75
353,1197.875
354,1336
355,1545.625
356,1562.875
357,1630.5
358,1535
359,1485.875
360,1415.5
361,1369.625
362,1305.375
363,1078.875
364,939.25
365,910.125
366,965.125
367,1019.875
368,1145.625
369,1242.875
370,1405
371,1542.25
372,1529.625
373,1427.75
374,1498.375
375,1492.75
376,1515.25
377,1295.25
378,1145.875
379,930.25
380,913.375
381,900
382,965.125
383,1060
384,1149.125
385,1257.625
386,1390.25
387,1561.5
388,1525.375
389,1525.375
390,1415.875
391,1422.5
392,1350.25
393,1241.375
394,1041
395,964.625
396,979.5
397,939.25
398,1116.5
399,1210.875
400,1349.625
401,1470.625
