Frame,Intensity
1,1069.9584
2,1184.5
3,1496.375
4,1783.75
5,2016.8334
6,2118.7083
7,2258.0417
8,2193.5833
9,2155.25
10,1983.375
11,1453.25
12,1124.1666
13,1043.4166
14,1079.625
15,1301.5834
16,1695.4166
17,1912.5416
18,2099.875
19,2212.125
20,2154.125
21,2190.25
22,2095.8333
23,1758.5834
24,1235.9584
25,1087.375
26,1027.375
27,1195.125
28,1498.0834
29,1793
30,2047.0834
31,2164.5417
32,2215.9583
33,2212.625
34,2146.3333
35,1880.7916
36,1377.4166
37,1087.2916
38,1032.8334
39,1129.125
40,1367.5834
41,1711.0416
42,1929
43,2152.5
44,2207.7917
45,2243.75
46,2166.1667
47,2018.5834
48,1522.0416
49,1188.375
50,1045.5416
51,1054.2916
52,1283
53,1657.6666
54,1917.75
55,2099.125
56,2205.625
57,2231.3333
58,2140.1667
59,2096.3333
60,1658.7084
61,1186.0834
62,1086.25
63,1076.2084
64,1252.125
65,1535.9584
66,1881.0416
67,2096.1667
68,2193.6667
69,2215.7083
70,2174.375
71,2090.5417
72,1840.625
73,1228.9584
74,1068.1666
75,1028.0834
76,1181.625
77,1492.2916
78,1795.9166
79,2026.1666
80,2171.25
81,2270.4167
82,2164.5
83,2119.5417
84,1908.5834
85,1451.375
86,1116.25
87,1068.7084
88,1060.375
89,1312.6666
90,1595.9584
91,1914.6666
92,2100.75
93,2254.9167
94,2180.4583
95,2156.375
96,2097.125
97,1788.8334
98,1576.9584
99,1143.75
100,1031.7084
101,1000
102,1179.5
103,1432.9166
104,1828.1666
105,1994.9584
106,2163.4167
107,2180.9167
108,2249.25
109,2159.5833
110,1943.2916
111,1380.9166
112,1120.4166
113,1040.6666
114,1076.2916
115,1366.625
116,1606.875
117,1984.4166
118,2098.625
119,2248.9167
120,2181.7083
121,2179.5417
122,2053.375
123,1712.25
124,1146.9584
125,1078.9584
126,1041.8334
127,1288.125
128,1612.9584
129,1869.9584
130,2123.5
131,2199.25
132,2242.0417
133,2203.8333
134,2165.25
135,1834.2916
136,1269.9584
137,1061.0834
138,1031.875
139,1140.1666
140,1502.7916
141,1750.4166
142,1988.1666
143,2137.5417
144,2257.5833
145,2250.6667
146,2189.8333
147,2000.2916
148,1557.7916
149,1148.3334
150,1057.75
151,1062.625
152,1243.0834
153,1645.7084
154,1870.2084
155,2101.5417
156,2208.9583
157,2248.875
158,2208.6667
159,2135.625
160,1800.875
161,1240.2916
162,1088.125
163,1048.5416
164,1175.4584
165,1458.375
166,1780.7084
167,2013.6666
168,2176.125
169,2278.5
170,2175.4583
171,2131.2917
172,1961.375
173,1580.75
174,1175.5834
175,1040.9166
176,1060.3334
177,1245.3334
178,1580.2916
179,1850.75
180,2083.0417
181,2227.5417
182,2268.9583
183,2274.1667
184,2210.2083
185,1895.7916
186,1316.375
187,1090.8334
188,1036.4584
189,1156.2084
190,1436.5
191,1823.9166
192,1978.125
193,2198.5417
194,2277.5833
195,2239.2083
196,2149.0417
197,2000.375
198,1539.625
199,1168.9166
200,1049.9166
201,1049.5
202,1263.875
203,1534.4584
204,1880.1666
205,2071.9167
206,2232.7083
207,2233.375
208,2265.3333
209,2135.0417
210,1862.8334
211,1242.3334
212,1115.2084
213,1047.5
214,1166.7084
215,1438.375
216,1831.9584
217,2017.625
218,2191.875
219,2267.9167
220,2226.9583
221,2175.4167
222,1985.4584
223,1518.625
224,1135.3334
225,1054.1666
226,1060.5416
227,1332.7084
228,1610.0834
229,1946.625
230,2102.0417
231,2232
232,2240.8333
233,2260.4167
234,2106.9167
235,1762.5
236,1188.6666
237,1087.9166
238,1019.4583
239,1169
240,1497.125
241,1838.125
242,2098
243,2239.125
244,2265.875
245,2215.4583
246,2198.1667
247,1949.5416
248,1431.9166
249,1118.0416
250,1037
251,1082.6666
252,1339.8334
253,1653.3334
254,1943.25
255,2091.4583
256,2267.5
257,2184.0417
258,2181
259,2053.625
260,1634.2084
261,1175
262,1061
263,1049.7084
264,1266.8334
265,1641.125
266,1874.1666
267,2100.4167
268,2248.5833
269,2241.7083
270,2181.7083
271,2143.125
272,1817.75
273,1367.2084
274,1090.25
275,1038.2916
276,1104.375
277,1373.0416
278,1701.3334
279,1989.4584
280,2170.9583
281,2224.5833
282,2219.1667
283,2183.0833
284,2023.7916
285,1547.9166
286,1203.0416
287,1069.8334
288,1097.2916
289,1331.7916
290,1752
291,1987.2916
292,2160.9583
293,2240.7083
294,2246.7083
295,2222.875
296,2077
297,1780.3334
298,1216.4584
299,1092.625
300,1040.0834
301,1168.0416
302,1458.8334
303,1788.5416
304,2003.8334
305,2187.75
306,2253.1667
307,2246.7083
308,2250.1667
309,2025.7084
310,1403.625
311,1130
312,1075.8334
313,1086.25
314,1382
315,1717.0416
316,1974.9584
317,2129.5833
318,2247.4583
319,2200.4167
320,2144.375
321,1989.1666
322,1699.2084
323,1203.1666
324,1073.1666
325,1026.2084
326,1197.5416
327,1427
328,1822.6666
329,2058.2083
330,2167.2083
331,2270.8333
332,2223.125
333,2180.8333
334,1930.4584
335,1475.8334
336,1127.625
337,1053.1666
338,1050.375
339,1305.25
340,1608
341,1909.5834
342,2037.9584
343,2265.4583
344,2226.5417
345,2148.4167
346,2067.4167
347,1802.5834
348,1240.5416
349,1087.3334
350,1028.5
351,1154.25
352,1501.9584
353,1829.6666
354,2085.875
355,2229.2083
356,2283.75
357,2193.2083
358,2159.7917
359,1943.0834
360,1404.8334
361,1111.0834
362,1047.125
363,1074.6666
364,1443.2084
365,1688.25
366,1989.8334
367,2163.3333
368,2276.0833
369,2235.875
370,2253.3333
371,2048.9583
372,1701.125
373,1251.0834
374,1060.5
375,1016.5833
376,1163.6666
377,1545
378,1775.1666
379,1995
380,2158.4167
381,2292.0833
382,2222.3333
383,2191.5
384,1928.1666
385,1373.6666
386,1123.0416
387,1040.7084
388,1107.0416
389,1373.4584
390,1727.3334
391,1951.0834
392,2156.0417
393,2270.9583
394,2224.2083
395,2192.6667
396,2040.3334
397,1616.5416
398,1180.375
399,1059
400,1044.125
401,1289.75
402,1627.25
403,1876.6666
404,2120.9167
405,2264.4167
406,2259.7917
407,2209.2917
408,2089.5
409,1759.4584
410,1213.0416
411,1075.2084
412,1019.7083
413,1207.375
414,1490.125
415,1879.3334
416,2025.4166
417,2231.5833
418,2273.7917
419,2309.5833
420,2218.7917
421,1973.3334
422,1380.625
423,1135.0834
424,1047.8334
425,1086.2084
426,1385.9166
427,1701.125
428,1959.375
429,2111.5
430,2209.9167
431,2233.75
432,2241.1667
433,2078.625
434,1707.2084
435,1161.4166
436,1071.6666
437,1058.375
438,1243.7084
439,1513.5834
440,2044.5834
441,2310.875
442,2162.1667
443,2310.9583
444,2251.0417
445,2069.25
446,1830.5834
447,1330.4584
448,1118.5
449,1058.5834
450,1182.4166
451,1422.125
452,1767.875
453,2001.5834
454,2308.7083
455,2428.4583
456,2330.4167
457,2091.4167
458,1857
459,1506.9166
460,1168.3334
461,1095.375
462,1064.375
463,1232.875
464,1623.7916
465,1834.0416
466,2124.7083
467,2106.4583
468,2101.7917
469,2137.5
470,2001.25
471,1653.5
472,1241.9166
473,1078.3334
474,1079.8334
475,1178.4166
476,1330.125
477,1640.625
478,2158.3333
479,2347.5833
480,2491.125
481,2378.25
482,2140.625
483,2043.625
484,1415.7916
485,1111.9166
486,1010.5
487,1115.0416
488,1411.9584
489,1674.8334
490,1863.5416
491,2153.75
492,2337.5
493,2416.4583
494,2277.9583
495,2140.9167
496,1645.4166
497,1174.625
498,1046.25
499,1049.2916
500,1320.75
501,1622.2084
502,1941.2084
503,2115.8333
504,2198.875
505,2193.6667
506,2132.8333
507,2088.0417
508,1801.75
509,1175.7916
510,1062.375
511,1061.5
512,1202.7916
513,1561.75
514,2045.7084
515,2235.4583
516,2264.9583
517,2241.25
518,2108.125
519,2077.1667
520,1858.625
521,1253.5
522,1095.3334
523,1025.75
524,1121.875
525,1603.5416
526,1899.7084
527,2102.375
528,2113.4167
529,2204.0417
530,2166.375
531,2189
532,2033.9166
533,1600.5834
534,1122
535,1071.125
536,1020.3333
537,1371.5416
538,1660.3334
539,1805.1666
540,1961.5
541,2090.7083
542,2155
543,2187.5417
544,2199.5
545,1919.0834
546,1315.5834
547,1065.5
548,1026.9584
549,1110.125
550,1496.4584
551,1721.6666
552,1955.2916
553,2101.375
554,2252.0417
555,2197.5833
556,2122.5
557,1895.4166
558,1564.5416
559,1142.4584
560,1061.2916
561,1066.5834
562,1245.375
563,1645.3334
564,1923.5416
565,2217.375
566,2337.5833
567,2333.0833
568,2212.0833
569,2079.375
570,1689.125
571,1175.8334
572,1061.1666
573,1058.6666
574,1238.75
575,1515.1666
576,1893.3334
577,2170.4167
578,2365.7917
579,2315.75
580,2269.25
581,2134.5417
582,1821.8334
583,1284.5834
584,1079.25
585,988.7083
586,1117.7916
587,1444.625
588,1867.7916
589,2092.0417
590,2229.7083
591,2204.125
592,2142.8333
593,2102.2083
594,1948.875
595,1407.8334
596,1133.25
597,1013.2083
598,1066
599,1418.9166
600,1756.5416
601,2019.8334
602,2154.2083
603,2231.4167
604,2206.5833
605,2189.75
606,2052.0417
607,1697.5416
608,1159.4166
609,1069.9166
610,1031.25
611,1215.6666
612,1579.2916
613,1845.625
614,2087.0417
615,2199.2083
616,2251.0417
617,2206.0833
618,2158.25
619,1871.625
620,1376.4584
621,1062.0416
622,1041.4166
623,1109.9584
624,1444.3334
625,1726.4584
626,2042.1666
627,2167.75
628,2297.2917
629,2235.3333
630,2121.1667
631,1978.0416
632,1557.125
633,1164.7084
634,1033.4584
635,1042
636,1231.6666
637,1573.2084
638,1888
639,2134.0417
640,2270.9167
641,2290.0833
642,2246.7917
643,2116.5833
644,1774.125
645,1258.3334
646,1070.4584
647,1024.75
648,1189
649,1531.3334
650,1841.125
651,2070.5833
652,2231.6667
653,2305.4583
654,2197.7083
655,2148.875
656,1986.75
657,1386.7084
658,1113.4166
659,1041.7084
660,1104.9584
661,1366.5834
662,1762.5
663,1963.875
664,2187.6667
665,2269.5417
666,2241.375
667,2178.0417
668,2038.7916
669,1644
670,1185.7916
671,1055.0834
672,1029.4166
673,1277.875
674,1607.7084
675,1944.75
676,2098.4583
677,2238.875
678,2246.6667
679,2261.1667
680,2051.9167
681,1754.5416
682,1231.6666
683,1087.1666
684,1055.875
685,1205.9584
686,1527.125
687,1944.9584
688,2102.9583
689,2250.5417
690,2284.7083
691,2242.6667
692,2172.875
693,1853.5834
694,1329.2916
695,1076.4584
696,1041.5416
697,1096.4584
698,1454.8334
699,1722.2084
700,2058.5833
701,2197.9167
702,2262.7083
703,2281.2083
704,2198.4583
705,1989.75
706,1494.625
707,1185.2084
708,1068.9166
709,1067.3334
710,1324.7916
711,1734.4584
712,1983.4166
713,2192.6667
714,2313.5417
715,2281
716,2213.9583
717,2057.1667
718,1728.9584
719,1213.9166
720,1053.9166
721,1013.875
722,1181.875
723,1565.1666
724,1856.4166
725,2127.125
726,2259
727,2306.125
728,2269.7917
729,2201.375
730,1922.1666
731,1343.3334
732,1085.2084
733,1028.2084
734,1126.9584
735,1421.375
736,1811.2084
737,2009.2916
738,2187.9167
739,2284
740,2261.5
741,2158.875
742,1983.9584
743,1567.4584
744,1145
745,1052.4166
746,1055.4584
747,1350.2916
748,1658.4166
749,2059.0417
750,2188.7917
751,2324.0833
752,2269.75
753,2242.0833
754,2024.0416
755,1714.4584
756,1222.4166
757,1082.7916
