F,I
481,485.8889
482,493.2222
483,542.5555
484,623.7778
485,687.3333
486,689.8889
487,731
488,745.5555
489,728.6667
490,535.7778
491,432.3333
492,423.1111
493,407.5555
494,474.5555
495,482.8889
496,543.1111
497,599.1111
498,677.1111
499,704.2222
500,692.7778
501,765.1111
502,711.1111
503,556.6667
504,429.8889
505,444.6667
506,430.4445
507,483
508,481.4445
509,544.4445
510,608.5555
511,667.3333
512,694.7778
513,727.6667
514,738.4445
515,739.4445
516,586
517,441.5555
518,428.2222
519,441.7778
520,470
521,498.7778
522,534
523,617.8889
524,688.5555
525,703.2222
526,711.8889
527,735.6667
528,750.1111
529,679.5555
530,542.7778
531,402.6667
532,420.5555
533,415
534,453.7778
535,480.5555
536,543.4445
537,608.1111
538,680.7778
539,741.2222
540,716.1111
541,723.7778
542,722.7778
543,563
544,431.2222
545,423.7778
546,442
547,457.5555
548,472.6667
549,523.3333
550,605
551,666.2222
552,691.2222
553,709
554,765.6667
555,721.3333
556,600.1111
557,443.4445
558,429.4445
559,439.3333
560,452.5555
561,490
562,533.1111
563,580.6667
564,650
565,688.8889
566,697.8889
567,731.1111
568,716.1111
569,644.6667
570,481.8889
571,403.3333
572,424.6667
573,438.8889
574,464.2222
575,511.5555
576,548
577,635.4445
578,710.1111
579,739.7778
580,758.8889
581,803.2222
582,714.4445
583,508.5555
584,423
585,434.1111
586,450.4445
587,475.1111
588,486.2222
589,568.5555
590,622.3333
591,659.6667
592,705.1111
593,718.4445
594,730.4445
595,683.7778
596,556.6667
597,450.4445
598,410.2222
599,440
600,465.6667
601,488.8889
602,540.3333
603,625.4445
604,654
605,708.2222
606,711
607,748.3333
608,719.2222
609,568.7778
610,439.4445
611,434.1111
612,426.5555
613,451.5555
614,460.1111
615,512.6667
616,583.2222
617,652
618,705.8889
619,702.6667
620,725.4445
621,701.2222
622,584
623,449.5555
624,414.2222
625,436.4445
626,471.1111
627,490.7778
628,517.5555
629,607.8889
630,661.1111
631,695.6667
632,703.5555
633,717.6667
634,725.1111
635,604.2222
636,463.2222
637,417.5555
638,445
639,475.1111
640,485.4445
641,524.8889
642,621.5555
643,655
644,688.5555
645,725.5555
646,776.2222
647,789.7778
648,654.5555
649,462.8889
650,404.5555
651,439.6667
652,431.8889
653,450.7778
654,503.7778
655,555.1111
656,643.2222
657,686.3333
658,697.7778
659,717.6667
660,734.5555
661,645
662,477.5555
663,412.5555
664,420.5555
665,457.7778
666,458.2222
667,524.5555
668,564
669,638.2222
670,680
671,708.8889
672,715.5555
673,745.7778
674,636.1111
675,485.2222
676,429.3333
677,449.2222
678,460.4445
679,490.5555
680,510.1111
681,560.7778
682,634.6667
683,682.2222
684,712.8889
685,733.8889
686,733.1111
687,668
688,483.7778
689,434
690,431.5555
691,468.8889
692,475.7778
693,524.6667
694,564
695,636
696,673.7778
697,699.5555
698,721.2222
699,744.3333
700,727.2222
701,544
702,418.4445
703,421.3333
704,441.3333
705,465.7778
706,488
707,551.1111
708,606.3333
709,651.3333
710,705.4445
711,684.8889
712,708.1111
713,685.2222
714,511.5555
715,432.6667
716,423
717,444.7778
718,461.1111
719,493.5555
720,553.2222
721,610.8889
722,664.1111
723,713.7778
724,706.5555
725,722
726,698.4445
727,559.2222
728,455.8889
729,406.6667
730,441.6667
731,462.2222
732,484.3333
733,539
734,638.3333
735,688.7778
736,720.6667
737,697
738,773.6667
739,724.5555
740,569.7778
741,421.3333
742,421.7778
743,424.8889
744,430.8889
745,454.6667
746,510.3333
747,582.4445
748,673.8889
749,686.6667
750,683.3333
751,723.6667
752,720.4445
753,564.4445
754,463.7778
755,415
756,439.8889
757,458
758,491.1111
759,525.2222
760,590.6667
761,649.7778
762,694
763,703.1111
764,724.6667
765,724.6667
766,597.2222
767,451.7778
768,387.2222
769,427.5555
770,441.2222
771,453
772,491.6667
773,515.1111
774,607
775,625.3333
776,631.1111
777,649
778,657
779,547.3333
780,431.3333
781,414.2222
782,419.1111
783,426.1111
784,453
785,506.5555
786,538.8889
787,580
788,630.4445
789,663.2222
790,672.1111
791,697.3333
792,571.5555
793,452.5555
794,400.3333
795,425.2222
796,447.8889
797,455.6667
798,498.3333
799,571.5555
800,626.6667
801,677.5555
802,711.2222
803,724.2222
804,745.4445
805,650.8889
806,486.7778
807,424.5555
808,431.5555
809,455.1111
810,451.1111
811,510.1111
812,573
813,658.4445
814,731.7778
815,727.2222
816,727.1111
817,720.5555
818,679.2222
819,466.3333
820,422.8889
821,436.2222
822,417.8889
823,463.7778
824,482.5555
825,570.3333
826,600.1111
827,683.7778
828,694.8889
829,703
830,727
831,626.8889
832,460.5555
833,418
834,432.3333
835,442.8889
836,465.4445
837,507.8889
838,572.6667
839,638.3333
840,687.5555
841,671.6667
842,685.7778
843,712
844,611
845,483.6667
846,427.1111
847,438.4445
848,468.7778
849,451.3333
850,523.8889
851,571.7778
852,645.4445
853,681.1111
854,716.7778
855,729.6667
856,701.2222
857,640.7778
858,473.8889
859,424.3333
860,456.8889
861,465.6667
862,461.2222
863,535
864,591.2222
865,613.2222
866,668.5555
867,701
868,762.6667
869,802.1111
870,684.4445
871,483.4445
872,427.8889
873,430.6667
874,461.8889
875,463.7778
876,510
877,568.5555
878,645.4445
879,702.6667
880,693.4445
881,713.4445
882,718.2222
883,623.6667
884,479.7778
885,434.1111
886,427.1111
887,463.2222
888,472.3333
889,500.8889
890,559.2222
891,650.4445
892,676
893,701.6667
894,711.2222
895,729.5555
896,671.7778
897,509.1111
898,421.6667
899,441.3333
900,453.4445
901,470
902,518.2222
903,557.3333
904,612.8889
905,663.5555
906,699.1111
907,718.4445
908,739.6667
909,673.4445
910,522.4445
911,414.2222
912,422.6667
913,457.8889
914,467.3333
915,465.5555
916,561
917,611.1111
918,699.4445
919,709.1111
920,706.2222
921,745
922,741.3333
923,526.7778
924,413.6667
925,412
926,414.8889
927,430.3333
928,496.4445
929,551.4445
930,585.3333
931,635.8889
932,694.7778
933,696.1111
934,715.2222
935,701.1111
936,529
937,436
938,437.3333
939,443
940,468.3333
941,481.7778
942,551
943,605.8889
944,648.8889
945,720.6667
946,701.3333
947,748.4445
948,693.8889
949,555.8889
950,446.1111
951,434.7778
952,435.6667
953,472.1111
954,490.8889
955,533.3333
956,609.8889
957,701.2222
958,776.1111
959,771.8889
960,784.6667
961,777.2222
962,531.7778
963,421
964,422.5555
965,425.5555
966,441.6667
967,490.6667
968,542.7778
969,612.4445
970,653.3333
971,699.4445
972,708.4445
973,739.3333
974,706.3333
975,526.1111
976,453.4445
977,418.2222
978,422
979,465.3333
980,483.5555
981,550.3333
982,604.4445
983,673.4445
984,709.3333
985,707.3333
986,723.8889
987,734.6667
988,576.4445
989,419.1111
990,399.3333
991,431.6667
992,438.5555
993,476.6667
994,533.3333
995,593
996,703.5555
997,741.2222
998,770.6667
999,796.1111
1000,749.1111
1001,596
1002,455.1111
1003,420.4445
1004,398.7778
1005,463.3333
1006,483.2222
1007,519
1008,576.4445
1009,668.2222
1010,691.2222
1011,708.2222
1012,769.5555
1013,738.2222
1014,609.4445
1015,439.8889
1016,412.1111
1017,437.2222
1018,460.3333
1019,482.6667
1020,518.5555
1021,587.7778
1022,653.2222
1023,685.3333
1024,695.7778
1025,735.6667
1026,755.7778
1027,704
1028,631.7778
1029,461.4445
1030,436.3333
1031,404.4445
1032,446.7778
1033,452.5555
1034,527.3333
1035,528.3333
1036,643.5555
1037,693.3333
1038,733.5555
1039,754.5555
1040,779.4445
1041,694
1042,485.8889
1043,444.1111
1044,431.5555
1045,435.4445
1046,467.8889
1047,509.6667
1048,564
1049,643
1050,681.6667
1051,713
1052,730.3333
1053,729.1111
1054,669.4445
1055,550.3333
1056,424.2222
1057,425.7778
1058,429.3333
1059,462.6667
1060,477.3333
1061,533.7778
1062,613.2222
1063,644.4445
1064,691.6667
1065,703.5555
1066,736.4445
1067,721.3333
1068,590.3333
1069,448.5555
1070,407.2222
1071,431.4445
1072,444.3333
1073,479.1111
1074,520.2222
1075,592.1111
1076,670.4445
1077,759.7778
1078,772.3333
1079,800.6667
1080,810.3333
1081,656.7778
1082,466.5555
1083,439.2222
1084,420.2222
1085,456.4445
1086,449.6667
1087,483.7778
1088,588.5555
1089,615.8889
1090,685.8889
1091,708.7778
1092,714.1111
1093,726
1094,653.3333
1095,490.7778
1096,420.4445
1097,426.5555
1098,447.6667
1099,486.1111
1100,503.8889
1101,579
1102,619.4445
1103,681
1104,704.5555
1105,723.3333
1106,725.6667
1107,675.7778
1108,519.5555
1109,415
1110,416.2222
1111,453.7778
1112,480.5555
1113,504.5555
1114,540.3333
1115,610.2222
1116,673.8889
1117,727.3333
1118,729
1119,751.7778
1120,746.5555
1121,650.2222
1122,509.5555
1123,418.2222
1124,413.6667
1125,409.8889
1126,456.5555
1127,475
1128,544.6667
1129,600.8889
1130,702
1131,739.7778
1132,744.7778
1133,790.2222
1134,737.4445
1135,569.4445
1136,447
1137,404.7778
1138,428.2222
1139,467.1111
1140,476.3333
1141,517.7778
1142,592.1111
1143,659.7778
1144,726.4445
1145,680.7778
1146,754.7778
1147,742
1148,697.5555
1149,546.3333
1150,439.2222
1151,417.6667
1152,441.3333
1153,478.6667
1154,502.4445
1155,557.1111
1156,609.8889
1157,643
