F,I
1,564.2727
2,550.5455
3,503.6364
4,444.3636
5,382.1818
6,347.7273
7,345.1818
8,363.8182
9,443.8182
10,519.4545
11,589.8182
12,598.7273
13,600.9091
14,566.3636
15,536.9091
16,482.7273
17,414.5454
18,333.6364
19,342.6364
20,352
21,412.9091
22,478.8182
23,525.1818
24,584.0909
25,591.5455
26,556
27,556.9091
28,496.3636
29,458.3636
30,370.5454
31,333.3636
32,331.3636
33,353.1818
34,410.6364
35,499.4546
36,556.3636
37,588.1818
38,583.1818
39,546.0909
40,533.2727
41,490.5454
42,452.8182
43,419.7273
44,413
45,408.6364
46,394.2727
47,404.9091
48,367.4546
49,320.6364
50,317.9091
51,325.0909
52,366.8182
53,422.9091
54,481.8182
55,557.9091
56,611.3636
57,586.4545
58,548.6364
59,525.8182
60,483.5454
61,391.3636
62,360
63,346.0909
64,369.3636
65,445.9091
66,516.4545
67,572.9091
68,596.9091
69,600
70,565.1818
71,551.2727
72,488.3636
73,423.6364
74,346.8182
75,331.4546
76,344
77,384.2727
78,462
79,532.1818
80,573.5455
81,610.4545
82,587.6364
83,554
84,528.8182
85,460
86,378.5454
87,341.2727
88,330.1818
89,376.3636
90,411.7273
91,503.1818
92,559.2727
93,597
94,615.2727
95,570.3636
96,548.0909
97,491.3636
98,453.6364
99,402
100,342.1818
101,331.6364
102,346.9091
103,396.8182
104,470.2727
105,527.2727
106,584.9091
107,592.1818
108,597.8182
109,559.4545
110,524.4545
111,450.4546
112,394.2727
113,350.9091
114,346
115,387.9091
116,418
117,493.8182
118,566
119,607.1818
120,587.2727
121,569.0909
122,541.8182
123,498.6364
124,459.0909
125,383.9091
126,331.1818
127,326.3636
128,361.9091
129,420.9091
130,484.5454
131,544.3636
132,576.0909
133,599.5455
134,557.2727
135,544.4545
136,503.5454
137,440.9091
138,365.2727
139,339.2727
140,354.6364
141,382.3636
142,457.1818
143,536.6364
144,578.3636
145,609.7273
146,584.6364
147,547.4545
148,526.7273
149,487.5454
150,449.2727
151,376.2727
152,331.5454
153,334.5454
154,354.7273
155,384.4546
156,470.3636
157,527.1818
158,580
159,593.8182
160,572.1818
161,547.9091
162,490.0909
163,460
164,363.8182
165,334.3636
166,331.3636
167,370.1818
168,435.8182
169,503.6364
170,556
171,605.2727
172,596.1818
173,550.5455
174,524.4545
175,491
176,447.6364
177,383.7273
178,337.8182
179,324.3636
180,376.0909
181,404.6364
182,471.1818
183,523.6364
184,595.8182
185,592.0909
186,567.4545
187,542.8182
188,523.9091
189,474.4546
190,369.0909
191,336.4546
192,336.6364
193,359.7273
194,413
195,487.1818
196,552.7273
197,591.3636
198,583.7273
199,562.5455
200,529.8182
201,484.9091
202,446.8182
203,424
204,364.8182
205,340.6364
206,323.3636
207,351.4546
208,412.4546
209,474.8182
210,550.5455
211,596.2727
212,578.9091
213,557.3636
214,517.6364
215,504.3636
216,438.1818
217,373.7273
218,328.4546
219,328.8182
220,359.0909
221,414.1818
222,474.6364
223,540.7273
224,570.9091
225,593.5455
226,579.1818
227,537.8182
228,494.3636
229,437.0909
230,363.2727
231,345.2727
232,339.8182
233,357.9091
234,445.6364
235,511.8182
236,575
237,586.8182
238,583.9091
239,569.7273
240,527.1818
241,485.4546
242,441.5454
243,395
244,347.8182
245,344.4546
246,353.7273
247,398.5454
248,485.1818
249,555.6364
250,589.5455
251,617.7273
252,557
253,555.7273
254,507.5454
255,454.7273
256,420.7273
257,338.9091
258,317.8182
259,333.0909
260,364.5454
261,422.8182
262,506.5454
263,554.2727
264,599.8182
265,579.2727
266,577
267,536.8182
268,481.9091
269,398
270,341.7273
271,332.2727
272,335.8182
273,406.7273
274,475.0909
275,531.1818
276,588.7273
277,608.6364
278,581.4545
279,541
280,503.5454
281,453.2727
282,371
283,336.1818
284,341.3636
285,371.0909
286,432.5454
287,513.4545
288,554.8182
289,601.3636
290,595.4545
291,552.9091
292,542.5455
293,478.9091
294,453.2727
295,406.6364
296,343.8182
297,320.0909
298,324.3636
299,352.8182
300,407.6364
301,493.8182
302,559.3636
303,573.2727
304,580.3636
305,570.2727
306,557
307,494.3636
308,393.1818
309,331.4546
310,335.4546
311,353.4546
312,409
313,476.6364
314,558
315,591.4545
316,580.0909
317,558.9091
318,539.4545
319,499.3636
320,488.8182
321,363.9091
322,341.4546
323,338.7273
324,385.0909
325,453.4546
326,509.9091
327,567.8182
328,610.5455
329,591.5455
330,581.5455
331,539.1818
332,490.3636
333,395.4546
334,346.1818
335,332.1818
336,347.5454
337,417.2727
338,460
339,543.7273
340,574.6364
341,585.8182
342,579.1818
343,539.9091
344,498.2727
345,450.8182
346,348.7273
347,340
348,335.2727
349,374.6364
350,418.6364
351,512.5455
352,574.4545
353,590.7273
354,580.1818
355,525.1818
356,519.7273
357,463.8182
358,383.5454
359,330
360,334.2727
361,346.3636
362,406.6364
363,473.6364
364,520.9091
365,565
366,585.7273
367,565.2727
368,529.3636
369,495
370,439.2727
371,353.0909
372,331.0909
373,344.7273
374,375.1818
375,429.3636
376,507.9091
377,556.1818
378,560.1818
379,576.5455
380,541.8182
381,492.5454
382,453.8182
383,407.4546
384,344.5454
385,326.6364
386,357.6364
387,389.3636
388,432.6364
389,521.3636
390,554.1818
391,560.5455
392,538.1818
393,545.1818
394,483.1818
395,430.2727
396,346.1818
397,332.1818
398,319.6364
399,359.5454
400,403
401,479.1818
402,526.6364
403,562.9091
404,544.3636
405,522.8182
406,490.7273
407,451.4546
408,386.9091
409,328.6364
410,321.9091
411,348.3636
412,393.9091
413,459.2727
414,516.8182
415,546.0909
416,556.2727
417,527.7273
418,519
419,478.6364
420,424.7273
421,334.8182
422,310.7273
423,333.5454
424,353.5454
425,409.3636
426,467.6364
427,535.7273
428,537.3636
429,521.7273
430,488.8182
431,470.8182
