F,I
1,1009
2,1149.8889
3,1214.3334
4,1237.2222
5,1251.6666
6,1197.8889
7,1012.7778
8,753.3333
9,652.3333
10,652.6667
11,712.2222
12,731
13,852.4445
14,952.2222
15,1105.1111
16,1185
17,1218.1111
18,1209.2222
19,1251.3334
20,1100.8889
21,893.2222
22,673.5555
23,623.5555
24,635.2222
25,696.4445
26,733.1111
27,859.4445
28,1050.8889
29,1161.7778
30,1279.4445
31,1224.6666
32,1228.5555
33,1194.5555
34,976.5555
35,708.4445
36,651.8889
37,649.2222
38,685.3333
39,738.2222
40,896.5555
41,1026.5555
42,1144.1111
43,1236
44,1215.4445
45,1228.6666
46,1206
47,1040.6666
48,824.3333
49,648.8889
50,662.4445
51,656.7778
52,674.7778
53,800.3333
54,884.4445
55,988.7778
56,1167.3334
57,1200.1111
58,1184.2222
59,1224.6666
60,1120
61,860.5555
62,669.6667
63,688.6667
64,684.5555
65,687.2222
66,796.4445
67,934.7778
68,1068.2222
69,1180.3334
70,1211.7778
71,1223.2222
72,1275.4445
73,1145
74,1052.6666
75,770.7778
76,641.3333
77,641.2222
78,669.5555
79,702.6667
80,762.4445
81,880.5555
82,1082.1111
83,1147.6666
84,1227.2222
85,1171.8889
86,1247.2222
87,1135.7778
88,816.1111
89,661.4445
90,662.4445
91,671.7778
92,717
93,823.6667
94,961.5555
95,1054.5555
96,1167
97,1225
98,1187.5555
99,1227.6666
100,1161
101,929.5555
102,714.6667
103,620.2222
104,658.4445
105,682.2222
106,734.6667
107,843.7778
108,983.8889
109,1116.8889
110,1248.7778
111,1214.5555
112,1188.6666
113,1186.4445
114,1050.6666
115,789.4445
116,668.3333
117,666.4445
118,663.6667
119,718.8889
120,826.6667
121,923.8889
122,1070
123,1181.4445
124,1226.4445
125,1203.1111
126,1242.3334
127,1171
128,1088.4445
129,730.4445
130,649
131,644
132,670.5555
133,711.1111
134,859.2222
135,987.2222
136,1059.2222
137,1173.4445
138,1200.2222
139,1235.5555
140,1198.6666
141,1106.1111
142,848.6667
143,665.1111
144,632.3333
145,662
146,678.7778
147,770.6667
148,898.8889
149,1028.4445
150,1124.5555
151,1197.2222
152,1185.4445
153,1222.7778
154,1207.7778
155,1117.8889
156,868.4445
157,657.8889
158,631.1111
159,663.7778
160,707
161,737.3333
162,858.3333
163,1005.4445
164,1116.5555
165,1238.1111
166,1170.7778
167,1227.2222
168,1139.8889
169,955.5555
170,700
171,661.6667
172,659.6667
173,663.3333
174,768.2222
175,905.7778
176,1042.5555
177,1147.2222
178,1235.7778
179,1217.1111
180,1246.8889
181,1211
182,1095.1111
183,757.4445
184,653.1111
185,646.6667
186,670.1111
187,705.2222
188,787
189,974.4445
190,1022.5555
191,1139.4445
192,1179.8889
193,1206.3334
194,1250.1111
195,1087
196,820
197,654.6667
198,631.1111
199,678.3333
200,673.5555
201,763.7778
202,923.1111
203,1026.2222
204,1143.7778
205,1198.4445
206,1177
207,1211.8889
208,1104.6666
209,1039.2222
210,712.3333
211,615.8889
212,649.7778
213,671.6667
214,726.8889
215,863.7778
216,999.1111
217,1082.6666
218,1161.1111
219,1230.1111
220,1261.3334
221,1294.1111
222,1152.6666
223,1046.5555
224,750.2222
225,637.7778
226,630.2222
227,641
228,674.1111
229,774.7778
230,897.1111
231,1011.2222
232,1133.5555
233,1185
234,1165.4445
235,1219.3334
236,1127.5555
237,1057.5555
238,800.2222
239,650.5555
240,630.2222
241,657.2222
242,654.1111
243,754.7778
244,868.3333
245,977
246,1070.4445
247,1187.5555
248,1165.3334
249,1243.5555
250,1170.3334
251,993.4445
252,741.8889
253,647.5555
254,636.3333
255,656.7778
256,703.4445
257,840.4445
258,945.4445
259,1039
260,1174.1111
261,1163.4445
262,1161.7778
263,1235.8889
264,1131.6666
265,1026.3334
266,710.4445
267,636.3333
268,626.7778
269,664.4445
270,703.8889
271,779.4445
272,912.1111
273,1065.7778
274,1169.2222
275,1211.5555
276,1217.5555
277,1248
278,1069.7778
279,844.6667
280,656.2222
281,627.7778
282,671.7778
283,673.2222
284,781
