Class,Larva,Num_Peaks,Num_RR_Intervals,Mean_RR_ms,Std_RR_ms,Min_RR_ms,Max_RR_ms
1_Isoproterenol 10 µM,Larva 24,1004,1003,298.70388833499504,13.656703050913533,200.0,375.0
1_Isoproterenol 10 µM,Larva 25,1112,1111,269.77947794779476,12.762843096421705,250.0,300.0
1_Isoproterenol 10 µM,Larva 26,1098,1097,273.06289881494985,10.948985042299082,250.0,300.0
1_Isoproterenol 10 µM,Larva 27,959,958,312.89144050104386,14.295958734186023,275.0,350.0
1_Isoproterenol 10 µM,Larva 28,1099,1098,272.9280510018215,11.527717292014579,250.0,300.0
1_Isoproterenol 10 µM,Larva 29,991,990,302.67676767676767,10.500436049462623,275.0,350.0
1_Isoproterenol 100 µM,Larva 01 - 01.04.25,917,916,326.9377729257642,15.530483233004075,250.0,400.0
1_Isoproterenol 100 µM,Larva 02 - 01.04.25,962,961,311.420395421436,12.914759371553135,275.0,350.0
1_Isoproterenol 100 µM,Larva 03 - 01.04.25,1105,1104,271.5126811594203,11.122417566407453,250.0,300.0
1_Isoproterenol 100 µM,Larva 04 - 01.04.25,1010,1009,296.9524281466799,14.469602345014017,250.0,350.0
1_Isoproterenol 100 µM,Larva 05 - 01.04.25,965,964,310.99585062240664,14.16573445237474,250.0,350.0
1_Isoproterenol 100 µM,Larva 06 - 01.04.25,1005,1004,298.20717131474106,13.820595966709748,200.0,350.0
1_Isoproterenol 100 µM,Larva 07 - 01.04.25,927,926,323.6231101511879,16.2283071834946,225.0,350.0
1_Isoproterenol 100 µM,Larva 08 - 01.04.25,1048,1047,286.24641833810887,20.428747841353015,250.0,575.0
1_Isoproterenol 100 µM,Larva 09 - 01.04.25,1023,1022,293.2485322896282,15.393243008903264,200.0,550.0
1_Isoproterenol 100 µM,Larva 10 - 01.04.25,1000,999,299.64964964964963,18.78111039009308,200.0,475.0
1_Isoproterenol 100 µM,Larva 11 - 01.04.25,1030,1029,291.15646258503403,14.771463095652017,200.0,325.0
1_Isoproterenol 100 µM,Larva 12 - 01.04.25,926,925,323.86486486486484,15.641528511335704,300.0,400.0
1_Isoproterenol 100 µM,Larva 13 - 01.04.25,979,978,306.3394683026585,14.100330549270415,275.0,350.0
1_Isoproterenol 100 µM,Larva 14 - 06.04.25,1048,1047,286.00764087870107,14.288671412301444,250.0,325.0
1_Isoproterenol 100 µM,Larva 15 - 06.04.25,951,950,315.5,16.460079298907274,275.0,375.0
1_Isoproterenol 100 µM,Larva 16 - 06.04.25,1065,1064,281.390977443609,12.22599510009149,250.0,325.0
1_Isoproterenol 100 µM,Larva 17 - 06.04.25,1002,1001,299.35064935064935,23.64358059124606,250.0,475.0
1_Isoproterenol 100 µM,Larva 18 - 06.04.25,988,987,303.596757852077,14.577171561196147,250.0,400.0
1_Isoproterenol 100 µM,Larva 19 - 06.04.25,888,887,337.51409244644873,15.289154877586345,150.0,375.0
1_Isoproterenol 100 µM,Larva 20 - 06.04.25,971,970,308.659793814433,13.847763299937492,275.0,350.0
1_Isoproterenol 100 µM,Larva 21 - 06.04.25,886,885,338.5875706214689,14.201315419173081,300.0,400.0
1_Isoproterenol 100 µM,Larva 22 - 06.04.25,889,888,337.3873873873874,17.477100163104637,300.0,525.0
1_Isoproterenol 100 µM,Larva 23 - 06.04.25,929,928,323.11422413793105,19.70826811662199,225.0,700.0
1_Isoproterenol 100 µM,Larva 24 - 06.04.25,916,915,327.62295081967216,29.706302215063108,275.0,650.0
1_Isoproterenol 100 µM,Larva 25 - 06.04.25,984,983,304.6795523906409,13.139987311033908,275.0,350.0
1_Isoproterenol 100 µM,Larva 26 - 06.04.25,990,989,303.0080889787664,13.412862821482854,275.0,350.0
1_Isoproterenol 100 µM,Larva 27 - 06.04.25,1037,1036,289.18918918918916,12.86321409869102,275.0,325.0
2_Atropine 1 µM,Larva 01,1036,1035,289.3478260869565,12.747445803028748,225.0,325.0
2_Atropine 1 µM,Larva 02,1173,1172,255.4820819112628,13.438414187337122,200.0,350.0
2_Atropine 1 µM,Larva 03,1035,1034,289.8452611218569,12.902147789485232,225.0,350.0
2_Atropine 1 µM,Larva 04,1021,1020,293.8480392156863,11.376853267620707,225.0,325.0
2_Atropine 1 µM,Larva 05,1063,1062,281.99152542372883,12.272906011490015,225.0,300.0
2_Atropine 1 µM,Larva 06,1067,1066,281.16791744840526,11.462924277810343,225.0,300.0
2_Atropine 1 µM,Larva 07,977,976,306.86475409836066,11.987704918032785,275.0,325.0
2_Atropine 1 µM,Larva 08,945,944,317.02860169491527,11.7075155020689,275.0,325.0
2_Atropine 1 µM,Larva 09,937,936,320.1388888888889,13.392574500703182,300.0,350.0
2_Atropine 1 µM,Larva 10,905,904,331.0287610619469,13.026235109190214,300.0,375.0
2_Atropine 1 µM,Larva 11,902,901,332.630410654828,16.762555608575493,300.0,400.0
2_Atropine 1 µM,Larva 12,894,893,335.6103023516237,31.102229753721264,150.0,1025.0
2_Atropine 1 µM,Larva 13,965,964,310.96991701244815,12.715696168073388,275.0,350.0
2_Atropine 1 µM,Larva 14,1002,1001,299.1758241758242,10.054549268071188,275.0,325.0
2_Atropine 1 µM,Larva 15,946,945,317.010582010582,13.498183071143696,275.0,375.0
2_Atropine 1 µM,Larva 16,956,955,313.6910994764398,13.059023252906297,275.0,350.0
2_Atropine 1 µM,Larva 17,987,986,303.6764705882353,13.074439478040977,275.0,325.0
2_Atropine 1 µM,Larva 18,1060,1059,282.9084041548631,12.364167179037251,250.0,300.0
2_Atropine 1 µM,Larva 19,980,979,306.10316649642493,14.218080397789974,275.0,325.0
2_Atropine 1 µM,Larva 20,999,998,300.0501002004008,10.072258722925213,275.0,325.0
2_Atropine 1 µM,Larva 21,988,987,303.4447821681864,12.101300751011427,275.0,325.0
2_Atropine 1 µM,Larva 22,1047,1046,286.4244741873805,16.785895399988433,150.0,350.0
2_Atropine 1 µM,Larva 23,936,935,320.3475935828877,13.817451264607318,300.0,350.0
2_Atropine 1 µM,Larva 24,985,984,304.6239837398374,11.392430537892746,275.0,325.0
2_Atropine 1 µM,Larva 25,927,926,323.6501079913607,13.680740943915097,275.0,375.0
2_Atropine 1 µM,Larva 26,962,961,311.70655567117586,13.428860184219543,275.0,350.0
2_Atropine 1 µM,Larva 27,1009,1008,297.17261904761904,12.626029907925439,275.0,325.0
2_Atropine 1 µM,Larva 28,942,941,318.5706695005313,11.971119625072884,300.0,375.0
2_Atropine 1 µM,Larva 29,958,957,313.1400208986416,12.844591427685891,275.0,325.0
2_Atropine 1 µM,Larva 30,957,956,313.10146443514645,12.537773802155114,275.0,325.0
2_Atropine 1 µM,Larva 31,988,987,303.3434650455927,11.865788021849932,175.0,350.0
2_Atropine 1 µM,Larva 32,931,930,322.258064516129,12.346174563865079,275.0,350.0
2_Atropine 10 µM,Larva 01,1011,1010,296.63366336633663,11.060341043814592,250.0,325.0
2_Atropine 10 µM,Larva 02,934,933,321.11468381564845,13.949100891543145,300.0,350.0
