filtered_RR_Intervals_ms
425.0
450.0
450.0
425.0
400.0
450.0
425.0
425.0
525.0
450.0
425.0
450.0
475.0
500.0
575.0
475.0
425.0
400.0
450.0
425.0
425.0
425.0
475.0
400.0
450.0
425.0
475.0
425.0
425.0
425.0
475.0
400.0
475.0
550.0
375.0
750.0
650.0
525.0
650.0
600.0
550.0
450.0
425.0
550.0
525.0
400.0
475.0
425.0
475.0
575.0
750.0
625.0
450.0
400.0
450.0
500.0
425.0
450.0
425.0
550.0
400.0
525.0
575.0
400.0
425.0
500.0
475.0
550.0
500.0
500.0
450.0
475.0
425.0
525.0
700.0
475.0
400.0
475.0
475.0
425.0
475.0
425.0
425.0
400.0
400.0
475.0
700.0
425.0
425.0
475.0
650.0
425.0
700.0
700.0
425.0
475.0
425.0
400.0
450.0
450.0
425.0
675.0
425.0
550.0
400.0
450.0
450.0
400.0
475.0
550.0
425.0
425.0
450.0
400.0
425.0
500.0
400.0
400.0
650.0
425.0
425.0
525.0
550.0
500.0
450.0
600.0
425.0
425.0
750.0
500.0
425.0
625.0
600.0
425.0
425.0
525.0
550.0
750.0
400.0
400.0
700.0
500.0
400.0
625.0
425.0
400.0
700.0
400.0
425.0
450.0
475.0
600.0
400.0
500.0
400.0
425.0
525.0
600.0
425.0
375.0
475.0
400.0
450.0
525.0
525.0
425.0
425.0
475.0
600.0
400.0
375.0
675.0
500.0
400.0
500.0
425.0
450.0
375.0
750.0
400.0
625.0
450.0
400.0
425.0
475.0
400.0
475.0
400.0
400.0
475.0
425.0
425.0
425.0
400.0
400.0
425.0
375.0
525.0
425.0
425.0
400.0
375.0
650.0
375.0
500.0
425.0
425.0
400.0
425.0
450.0
525.0
475.0
425.0
400.0
425.0
400.0
375.0
700.0
550.0
375.0
450.0
400.0
500.0
400.0
600.0
500.0
400.0
375.0
475.0
725.0
525.0
400.0
550.0
400.0
425.0
475.0
400.0
500.0
400.0
375.0
450.0
375.0
625.0
650.0
650.0
475.0
400.0
425.0
425.0
400.0
375.0
475.0
400.0
400.0
475.0
375.0
425.0
450.0
400.0
475.0
375.0
400.0
425.0
450.0
425.0
500.0
475.0
400.0
400.0
400.0
475.0
450.0
400.0
475.0
400.0
550.0
475.0
400.0
625.0
400.0
425.0
500.0
425.0
400.0
375.0
475.0
375.0
450.0
450.0
725.0
425.0
350.0
475.0
650.0
425.0
450.0
525.0
500.0
500.0
375.0
475.0
700.0
400.0
400.0
525.0
425.0
450.0
425.0
375.0
450.0
475.0
400.0
375.0
525.0
450.0
425.0
525.0
400.0
375.0
675.0
375.0
575.0
375.0
550.0
350.0
550.0
400.0
450.0
550.0
350.0
625.0
725.0
525.0
450.0
375.0
600.0
625.0
400.0
575.0
500.0
450.0
350.0
375.0
450.0
500.0
350.0
625.0
400.0
375.0
425.0
550.0
700.0
350.0
450.0
500.0
375.0
500.0
425.0
350.0
575.0
400.0
650.0
375.0
375.0
750.0
475.0
475.0
450.0
350.0
500.0
400.0
375.0
350.0
450.0
425.0
450.0
450.0
600.0
400.0
350.0
425.0
325.0
475.0
350.0
425.0
425.0
475.0
450.0
500.0
400.0
375.0
425.0
400.0
425.0
450.0
450.0
550.0
350.0
525.0
350.0
500.0
400.0
375.0
450.0
350.0
425.0
500.0
400.0
475.0
500.0
400.0
425.0
375.0
450.0
600.0
550.0
350.0
625.0
375.0
500.0
425.0
375.0
425.0
425.0
425.0
475.0
350.0
550.0
350.0
425.0
425.0
500.0
425.0
400.0
475.0
325.0
450.0
475.0
475.0
475.0
375.0
575.0
425.0
350.0
550.0
500.0
750.0
475.0
500.0
375.0
550.0
550.0
375.0
375.0
450.0
450.0
475.0
350.0
550.0
400.0
325.0
450.0
450.0
475.0
450.0
475.0
350.0
500.0
525.0
375.0
425.0
400.0
475.0
575.0
475.0
650.0
400.0
500.0
375.0
400.0
475.0
600.0
500.0
450.0
375.0
450.0
425.0
425.0
350.0
450.0
525.0
475.0
375.0
450.0
425.0
450.0
350.0
450.0
475.0
550.0
375.0
450.0
425.0
475.0
450.0
375.0
475.0
425.0
400.0
375.0
425.0
450.0
600.0
400.0
400.0
425.0
450.0
500.0
475.0
350.0
450.0
525.0
450.0
425.0
350.0
625.0
500.0
350.0
425.0
475.0
400.0
675.0
475.0
375.0
500.0
425.0
425.0
425.0
425.0
400.0
475.0
425.0
425.0
325.0
500.0
425.0
400.0
500.0
475.0
450.0
650.0
550.0
350.0
375.0
525.0
700.0
425.0
425.0
425.0
600.0
375.0
400.0
400.0
475.0
375.0
450.0
375.0
500.0
425.0
375.0
450.0
725.0
350.0
475.0
750.0
600.0
450.0
475.0
400.0
450.0
375.0
475.0
375.0
575.0
625.0
350.0
650.0
500.0
375.0
500.0
350.0
375.0
450.0
475.0
425.0
400.0
425.0
475.0
425.0
425.0
425.0
425.0
400.0
450.0
400.0
425.0
475.0
375.0
500.0
475.0
375.0
475.0
425.0
425.0
500.0
350.0
475.0
425.0
625.0
375.0
500.0
375.0
475.0
400.0
425.0
475.0
400.0
425.0
450.0
475.0
425.0
450.0
