F,I
1,387.7778
2,433
3,459.7778
4,468.5555
5,489.7778
6,468.5555
7,436.5555
8,382.5555
9,310.3333
10,313.1111
11,312.5555
12,340.1111
13,400.4445
14,432.5555
15,465.2222
16,474.4445
17,480.3333
18,459.6667
19,490.2222
20,438.7778
21,364.3333
22,301.6667
23,331.3333
24,320.1111
25,366.7778
26,396.6667
27,440.4445
28,464.1111
29,467.7778
30,494.6667
31,476.3333
32,457.6667
33,403.5555
34,308
35,305.5555
36,340.2222
37,337.7778
38,365.4445
39,409.6667
40,462.5555
41,484.7778
42,500.1111
43,488.7778
44,459.2222
45,420.1111
46,355.1111
47,307.8889
48,318.6667
49,333.3333
50,344.1111
51,385.1111
52,425.6667
53,465.8889
54,488.7778
55,486.6667
56,504.4445
57,463.5555
58,394.7778
59,333.1111
60,328.2222
61,327
62,338.2222
63,377.1111
64,416.3333
65,449.3333
66,464.1111
67,487.5555
68,514
69,473.4445
70,435.4445
71,363.1111
72,306.2222
73,306.1111
74,329.7778
75,344.6667
76,372.7778
77,424.8889
78,479.1111
79,468.5555
80,471.4445
81,471.5555
82,475.7778
83,402.2222
84,322.8889
85,306.7778
86,319.8889
87,335.1111
88,360.7778
89,388.5555
90,441
91,456
92,453.4445
93,485.3333
94,464.3333
95,438.1111
96,377
97,324.6667
98,312.8889
99,323.5555
100,333.6667
101,366.2222
102,407.6667
103,473.3333
104,465.8889
105,477.8889
106,497.2222
107,447.8889
108,444
109,328.4445
110,281.8889
111,319.2222
112,327.4445
113,354.4445
114,437.4445
115,428.5555
116,466.8889
117,462.1111
118,455
119,469.1111
120,447.4445
121,416
122,399.1111
123,333.5555
124,299.7778
125,304.6667
126,320.6667
127,318.5555
128,374.4445
129,427.7778
130,449.6667
131,463
132,479
133,482.7778
134,453
135,407.8889
136,344.1111
137,313
138,313.6667
139,330.6667
140,356.3333
141,418.3333
142,453.6667
143,471.5555
144,477.4445
145,477.3333
146,471.1111
147,446.3333
148,415.2222
149,414.2222
150,388.8889
151,321
152,303.1111
153,315.7778
154,323.8889
155,339.6667
156,389.8889
157,418.3333
158,453.5555
159,467
160,492.6667
161,479.1111
162,448.5555
163,408.2222
164,327.5555
165,315.6667
166,312.5555
167,325.7778
168,352.4445
169,394.7778
170,456.4445
171,459.5555
172,468.2222
173,471.1111
174,475.1111
175,440.4445
176,384.4445
177,326.6667
178,313.5555
179,324.6667
180,335.2222
181,355
182,420.3333
183,453.2222
184,482.7778
185,479.3333
186,461.6667
187,460
188,427.2222
189,341.2222
190,312
191,321.3333
192,323.7778
193,336.7778
194,383.5555
195,417.7778
196,470.2222
197,482.8889
198,491.7778
199,479.8889
200,454.1111
201,403.1111
202,320.2222
203,309.5555
204,305.1111
205,333.1111
206,352.5555
207,404.5555
208,434.6667
209,471.6667
210,470.8889
211,487.3333
212,482.1111
213,436.8889
214,377.1111
215,321.8889
216,316.4445
217,317.4445
218,358.2222
219,389.7778
220,414.1111
221,439
222,458.5555
223,484.3333
224,483.2222
225,461.1111
226,432.2222
227,355.6667
228,321.7778
229,310
230,326.7778
231,325.2222
232,394.7778
233,432.7778
234,454.1111
235,465
236,481.7778
237,476.6667
238,448.5555
239,414.6667
240,331.2222
241,315.8889
242,302.3333
243,350.8889
244,341.8889
245,401.8889
246,441.1111
247,469.4445
248,498.1111
249,507.3333
250,490.3333
251,449.2222
252,373.2222
253,325.7778
254,324.2222
255,323.5555
256,346
257,376.7778
258,423.5555
259,441.7778
260,480.8889
261,471.6667
262,461.6667
263,474.8889
264,436
265,339.1111
266,328.8889
267,315.5555
268,313.8889
269,337.6667
270,387
271,431.1111
272,454.5555
273,484.1111
274,486.7778
275,479.2222
276,437.7778
277,388.5555
278,332.8889
279,309.3333
280,325.3333
281,343.4445
282,375
283,410.4445
284,444.8889
285,478.1111
286,476.5555
287,460.5555
288,465.1111
289,447.3333
290,349
291,304.7778
292,310
293,302.2222
294,336
295,365.8889
296,422.1111
297,469.1111
298,492.3333
299,485.4445
300,470.8889
301,458.1111
302,423.3333
303,375
304,311.8889
305,313.7778
306,327
307,340.2222
308,377.8889
309,429.2222
310,458.3333
311,461.5555
312,473.6667
313,492.1111
314,454.8889
315,417.3333
316,339.1111
317,306
318,329.6667
319,337.5555
320,348.7778
321,403.2222
322,444.7778
323,470.5555
324,480
325,469.5555
326,474.7778
327,435.7778
328,381
329,324.1111
330,307.6667
331,327.6667
332,343.3333
333,374.5555
334,414.7778
335,460.3333
336,467.1111
337,471.8889
338,466.3333
339,454.1111
340,410.3333
341,332.1111
342,306.8889
343,328.7778
344,331.3333
345,356.2222
346,398.2222
347,404.5555
348,473.8889
349,502.5555
350,490.3333
351,486.6667
352,434.5555
353,375.1111
354,313.8889
355,308.2222
356,321.7778
357,328.6667
358,390.1111
359,424.3333
360,446.7778
361,489.6667
362,478.5555
363,473.8889
364,452.4445
365,423.1111
366,343.4445
367,309.1111
368,302.4445
369,327.4445
370,336.4445
371,381.2222
372,436.8889
373,460
374,449.1111
375,493.5555
376,478.8889
377,468.7778
378,427.8889
379,339.4445
380,304.6667
381,319.7778
382,326.8889
383,347.3333
384,385.2222
385,436.8889
386,459.7778
387,469.7778
388,461.3333
389,481.3333
390,449.3333
391,390.4445
392,323.3333
393,314.1111
394,323.8889
395,332.4445
396,376.8889
397,402
398,461.6667
399,492.7778
400,490.1111
401,498.7778
402,496.1111
403,415
404,327.5555
405,312.1111
406,318
407,328.1111
408,349.7778
409,398.5555
410,452.8889
411,458.3333
412,463
413,471.8889
414,478.6667
415,453.4445
416,370.2222
417,326.7778
418,336.5555
419,342.8889
420,361.7778
421,384.7778
422,424.4445
423,476.3333
424,471.8889
425,487.3333
426,488.7778
427,466.8889
428,415
429,345.1111
430,301.8889
431,316.8889
432,322.5555
433,337.8889
434,401.7778
435,433.1111
436,460.1111
437,467.7778
438,472.1111
439,477.8889
440,462.1111
441,436.3333
442,340.3333
443,308.5555
444,334.3333
445,319.5555
446,339.7778
447,386.2222
448,439.6667
449,442.1111
450,472.3333
451,482
452,478.8889
453,448.7778
454,441.2222
455,383.3333
456,314.8889
457,327.6667
458,332.7778
459,325.3333
460,364.8889
461,414.8889
462,442.8889
463,460.2222
464,475.4445
465,481.3333
466,460
467,428.8889
468,343.5555
469,299.8889
470,308.6667
471,324.8889
472,326.5555
473,382.6667
474,411.7778
475,444.4445
476,475.2222
477,488.6667
478,474
479,456.6667
480,405.1111
481,324
482,317.1111
483,310.8889
484,335.2222
485,360.6667
486,402
487,447.4445
488,473.7778
489,485
490,496.4445
491,483
492,425.5555
493,364.5555
494,327.6667
495,313.2222
496,306.2222
497,339
498,372.1111
499,418
500,463.3333
501,460.6667
502,467.8889
503,479
504,459.2222
505,412
506,322.6667
507,300.5555
508,332.6667
509,332
510,359.1111
511,410.3333
512,411.4445
513,475.7778
514,471.3333
515,496.8889
516,480.7778
517,439.7778
518,370.4445
519,303
520,312.6667
521,309.3333
522,346.1111
523,367.1111
524,421.3333
525,462.6667
526,458.3333
527,475.5555
528,486.6667
529,459.7778
530,441.8889
531,406
532,408.1111
533,396.1111
534,390.8889
535,377.2222
536,315.4445
537,301.8889
538,299.6667
539,318.3333
540,336.5555
541,385.5555
542,416.3333
543,467.6667
544,464.6667
545,451.7778
546,461.7778
547,431.5555
548,366.8889
549,322.7778
550,317.8889
551,324.7778
552,346.8889
553,373.6667
554,421.6667
555,457.4445
556,466.5555
557,476.8889
558,466.8889
559,458.3333
560,431.8889
561,331.8889
562,304.8889
563,321.3333
564,335.4445
565,369.8889
566,397.8889
567,438.7778
568,462
569,475.5555
570,475.6667
571,481.8889
572,431.8889
573,386.6667
574,316.7778
575,306.1111
576,322.7778
577,328.8889
578,375.3333
579,428.2222
580,441.6667
581,461
582,477
583,463.7778
584,487.7778
585,443.7778
586,351.5555
587,311.3333
588,308.6667
589,314.5555
590,336.4445
591,380
592,416.7778
593,448.3333
594,472.3333
595,476.7778
596,454.8889
597,442
598,408.3333
599,335.5555
600,296.2222
601,310.5555
602,331
603,356.3333
604,420.8889
605,439.1111
606,473.6667
607,469
608,486.7778
609,466.2222
610,438.6667
611,373.3333
612,312.1111
613,300.5555
614,309.6667
615,343
616,371.7778
617,419.4445
618,458.5555
619,475
620,486.3333
621,469.5555
622,463.6667
623,443.7778
624,342
625,308.5555
626,302.5555
627,309.7778
628,329.5555
629,383.8889
630,432.8889
631,457.4445
632,474.1111
633,485.5555
634,476.4445
635,453.8889
636,405.6667
637,325.2222
638,307.7778
639,306.3333
640,329.5555
641,340.5555
642,396.7778
643,439.2222
644,474.2222
645,480.7778
646,484.8889
647,460.3333
648,422.8889
649,348.1111
650,313.8889
651,310.6667
652,315.3333
653,337.1111
654,393.1111
655,440.4445
656,455.5555
657,473.1111
658,470.7778
659,481
660,443.4445
661,378.1111
662,311.8889
663,314.1111
664,311.1111
665,331.8889
666,347.4445
667,396.5555
668,461.6667
669,462
670,480.1111
671,485.7778
672,460.2222
673,421
674,334.1111
675,307.2222
676,317.2222
677,322.3333
678,330.6667
679,375.6667
680,422.6667
681,450
682,478.6667
683,465
684,462.1111
685,441.2222
686,433.4445
687,409.8889
688,364.6667
689,317.7778
690,294.3333
691,304.6667
692,331.7778
693,349.6667
694,391.7778
695,413.6667
696,465.6667
697,467
698,466.2222
699,448.3333
700,421.8889
701,392.6667
702,323.1111
703,318.5555
704,315.4445
705,320.8889
706,349.3333
707,410.6667
708,420.6667
709,492.4445
710,461.7778
711,481.1111
712,457
713,446.1111
714,359.3333
715,314.3333
716,306
717,317.7778
718,335
719,372.4445
720,426.5555
721,459.6667
722,490.4445
723,462.3333
724,474.2222
725,450.4445
726,407.3333
727,314.5555
728,312.4445
729,299.3333
730,333.8889
731,341
732,407
733,431
734,475.2222
735,477.5555
736,490.5555
737,482.7778
738,440.4445
739,387.1111
740,325.7778
741,293.4445
742,303.6667
743,331.6667
744,358.1111
745,409.2222
746,456.4445
747,464.5555
748,434.8889
749,499.4445
750,465.4445
751,421.4445
752,345.2222
753,296.7778
754,312.5555
755,319.5555
756,338.8889
757,377.1111
758,422.4445
759,469
760,463.2222
761,473
762,457.6667
763,436
764,416.5555
765,404.4445
766,355
767,305.4445
768,304
769,315.3333
770,336.3333
771,372.3333
772,413.6667
773,458.5555
774,460.3333
775,469.7778
776,481
777,443.8889
778,418.7778
779,346
780,311.4445
781,315.4445
782,306.2222
783,323.4445
784,381.8889
785,416.1111
786,450.4445
787,475.5555
788,469.3333
789,488.4445
790,444.8889
791,403.5555
792,321.3333
793,310
794,314.5555
795,320.5555
796,354.6667
797,394
798,442
799,466.6667
800,471
801,465.1111
802,498.6667
803,441.6667
804,375.3333
805,312.3333
806,318.1111
807,312.4445
808,316.4445
809,360.5555
810,410.6667
