Frame,Mean
1,1997
2,1671
3,1492
4,1407
5,1604
6,1756
7,1852
8,2108
9,2495
10,2512
11,2282
12,2148
13,1643
14,1477
15,1432
16,1510
17,1704
18,2058
19,2258
20,2379
21,2458
22,2430
23,2186
24,1615
25,1551
26,1411
27,1444
28,1648
29,1995
30,2088
31,2097
32,2408
33,2214
34,2081
35,1688
36,1519
37,1366
38,1466
39,1628
40,1791
41,2002
42,2376
43,2279
44,2220
45,2150
46,1810
47,1474
48,1485
49,1518
50,1571
51,1718
52,1961
53,2332
54,2144
55,2189
56,2127
57,1857
58,1641
59,1384
60,1447
61,1520
62,1739
63,1901
64,2080
65,2413
66,2326
67,2316
68,2004
69,1639
70,1416
71,1489
72,1576
73,1690
74,2148
75,2155
76,2357
77,2275
78,2208
79,2306
80,1594
81,1458
82,1455
83,1480
84,1635
85,1759
86,2214
87,2488
88,2362
89,2418
90,2364
91,1695
92,1556
93,1448
94,1451
95,1635
96,1888
97,2328
98,2417
99,2289
100,2132
101,2199
102,1537
103,1578
104,1637
105,1593
106,1623
107,1894
108,2007
109,2346
110,2460
111,2365
112,2100
113,1630
114,1482
115,1421
116,1558
117,1555
118,1892
119,1991
120,2421
121,2106
122,2465
123,2295
124,1698
125,1602
126,1540
127,1475
128,1603
129,1943
130,1988
131,2231
132,2365
133,2346
134,2197
135,1802
136,1485
137,1504
138,1508
139,1565
140,1662
141,2260
142,2423
143,2299
144,2290
145,2267
146,1799
147,1488
148,1466
149,1515
150,1636
151,1767
152,2097
153,2368
154,2468
155,2314
156,2303
157,1846
158,1698
159,1448
160,1434
161,1519
162,1749
163,1896
164,2219
165,2279
166,2089
167,2252
168,2035
169,1557
170,1634
171,1543
172,1586
173,1573
174,1867
175,2220
176,2348
177,2402
178,2286
179,2103
180,1675
181,1562
182,1488
183,1461
184,1664
185,2031
186,2070
187,2334
188,2171
189,2004
190,2122
191,1635
192,1490
193,1472
194,1598
195,1602
196,1894
197,2135
198,2287
199,2255
200,2265
201,2331
202,1572
203,1537
204,1459
205,1465
206,1557
207,1896
208,2361
209,2344
210,2405
211,2353
212,2294
213,1732
214,1512
215,1427
216,1537
217,1633
218,1906
219,2095
220,2266
221,2289
222,2311
223,2249
224,1735
225,1616
226,1647
227,1581
228,1525
229,1933
230,2096
231,2316
232,2404
233,2310
234,2232
235,1652
236,1586
237,1473
238,1497
239,1584
240,1820
241,2102
242,2319
243,2511
244,2227
245,2190
246,1642
247,1463
248,1456
249,1576
250,1506
251,1727
252,2006
253,2299
254,2356
255,2441
256,2380
257,1836
258,1492
259,1437
260,1507
261,1656
262,1674
263,2029
264,2332
265,2420
266,2408
267,2265
268,1999
269,1533
270,1474
271,1460
272,1476
273,1698
274,1946
275,2135
276,2444
277,2515
278,2439
279,1926
280,1581
281,1398
282,1623
283,1504
284,1616
285,2026
286,2189
287,2212
288,2365
289,2057
290,2031
291,1599
292,1500
293,1441
294,1495
295,1679
296,1933
297,1933
298,2293
299,2150
300,2164
301,2194
302,1634
303,1568
304,1518
305,1547
306,1674
307,2023
308,2074
309,2435
310,2204
311,2365
312,2334
313,1655
314,1495
315,1603
316,1578
317,1551
318,1859
319,2187
320,2404
321,2434
322,2239
323,2133
324,1603
325,1504
326,1578
327,1540
328,1755
329,2002
330,2161
331,2499
332,2456
333,2347
334,2132
335,1575
336,1476
337,1642
338,1534
339,1674
340,1926
341,2082
342,2403
343,2415
344,2225
345,2268
346,1704
347,1484
348,1513
349,1491
350,1632
351,1841
352,2035
353,2278
354,2062
355,2252
356,2190
357,1825
358,1585
359,1481
360,1467
361,1583
362,1826
363,2117
364,2362
365,2307
366,2417
367,2205
368,1862
369,1563
370,1406
371,1405
372,1532
373,1680
374,1899
375,2419
376,2216
377,2331
378,2104
379,2270
380,1551
381,1470
382,1555
383,1522
384,1757
385,1952
386,2244
387,2348
388,2340
389,2190
390,2145
391,1586
392,1485
393,1422
394,1602
395,1670
396,1926
397,2121
398,2108
399,2291
400,2138
401,2211
402,1622
403,1484
404,1406
405,1480
406,1485
407,1799
408,2119
409,2267
410,2400
411,2286
412,2124
413,1789
414,1479
415,1372
416,1469
417,1551
418,1758
419,2034
420,2384
421,2415
422,2252
423,2166
424,1798
425,1562
426,1503
427,1528
428,1502
429,1789
430,1986
431,2280
432,2393
433,2241
434,2251
435,2207
436,1612
437,1538
438,1533
439,1548
440,1733
441,2023
442,2293
443,2487
444,2459
445,2213
446,2251
447,1636
448,1491
449,1583
450,1612
451,1750
452,2076
453,2325
454,2446
455,2417
456,2139
457,2162
458,1643
459,1498
460,1415
461,1484
462,1755
463,1735
464,2261
465,2515
466,2512
467,2208
468,2171
469,1597
470,1492
471,1464
472,1562
473,1505
474,1858
475,2030
476,2451
477,2492
478,2398
479,2237
480,1704
481,1496
482,1541
483,1476
484,1512
485,1791
486,2074
487,2278
488,2323
489,2257
490,2142
491,2026
492,1621
493,1500
494,1471
495,1510
496,1552
497,1904
498,2053
499,2270
500,2056
501,2182
502,2316
503,1572
504,1493
505,1386
506,1489
507,1711
508,1889
509,2017
510,2364
511,2321
512,2280
513,2234
514,1626
515,1445
516,1384
517,1425
518,1561
519,1804
520,2271
521,2175
522,2223
523,2200
524,2220
525,1768
526,1545
527,1457
528,1586
529,1599
530,1859
531,2151
532,2477
533,2472
534,2254
535,2233
536,1701
537,1577
538,1587
539,1532
540,1611
541,1847
542,2032
543,2311
544,2487
545,2218
546,2508
547,2001
548,1642
549,1464
550,1501
551,1574
552,1621
553,1987
554,2358
555,2214
556,2245
557,2235
558,2221
559,1649
560,1592
561,1534
562,1375
563,1731
564,2102
565,2192
566,2352
567,2395
568,2391
569,2340
570,1641
571,1447
572,1486
573,1485
574,1691
575,2020
576,2163
577,2405
578,2112
579,2282
580,2522
581,1671
582,1526
583,1470
584,1521
585,1430
586,1792
587,1914
588,2272
589,2392
590,2139
591,2216
592,1873
593,1579
594,1461
595,1469
596,1553
597,1828
598,2241
599,2318
600,2475
601,2252
602,2154
603,1974
604,1527
605,1394
606,1599
607,1524
608,1780
609,2115
610,2186
611,2263
612,2219
613,2068
614,1645
615,1522
616,1514
617,1556
618,1566
619,1906
620,1981
621,2205
622,2482
623,2289
624,2117
625,1724
626,1613
627,1472
628,1488
629,1560
630,1799
631,1947
632,2222
633,2284
634,2332
635,2298
636,1936
637,1668
638,1420
639,1417
640,1485
641,1645
642,2028
643,2140
644,2162
645,2243
646,2323
647,2083
648,1574
649,1368
650,1367
651,1372
652,1577
653,1968
654,2106
655,2239
656,2338
657,1960
658,2089
659,1677
660,1500
661,1332
662,1579
663,1547
664,2004
665,2437
666,2363
667,2345
668,2259
669,2459
670,1630
671,1593
672,1560
673,1387
674,1490
675,1906
676,1971
677,2292
678,2232
679,2235
680,2088
681,1880
682,1517
683,1525
684,1421
685,1411
686,1775
687,2008
688,2246
689,2399
690,2243
691,2197
692,1919
693,1566
694,1379
695,1449
696,1543
697,1817
698,1917
699,2263
700,2392
701,2356
702,2303
703,2490
704,1866
705,1450
706,1451
707,1406
708,1784
709,2061
710,2044
711,2349
712,2399
713,2198
714,2182
715,2252
716,1445
717,1425
718,1426
719,1444
720,1575
721,1893
722,2025
723,2014
724,2196
725,2268
726,2335
727,1575
728,1448
729,1390
730,1524
731,1546
732,1761
733,1868
734,2191
735,2270
736,2349
737,2276
738,1607
739,1589
740,1460
741,1424
742,1583
743,1744
744,2058
745,2134
746,2487
747,2869
748,2939
749,2814
750,1413
751,1320
752,1237
753,1496
754,1476
755,1779
756,1882
757,2188
758,1978
759,2070
760,2051
761,2009
762,1819
763,1836
764,1688
765,1559
766,1427
767,1369
768,1470
769,1516
770,1570
771,1851
772,1992
773,2185
774,2124
775,1968
776,1538
777,1508
778,1499
779,1652
780,1609
781,1935
782,1898
783,2310
784,2286
785,2396
786,2391
787,1700
788,1448
789,1409
790,1543
791,1658
792,1697
793,1857
794,2153
795,2327
796,2353
797,2308
798,2047
799,1529
800,1474
801,1529
802,1629
803,1675
804,1779
805,2084
806,2310
807,2540
808,2454
809,2423
810,1658
811,1573
812,1490
813,1611
814,1661
815,1753
816,1805
817,2135
818,2331
819,2294
820,2423
821,1666
822,1614
823,1564
824,1518
825,1604
826,1745
827,1794
828,2119
829,2418
830,2490
831,2238
832,2170
833,1587
834,1496
835,1473
836,1564
837,1656
838,1791
839,2048
840,2331
841,2539
842,2198
843,2328
844,1649
845,1523
846,1554
847,1534
848,1552
849,1745
850,1989
851,2322
852,2214
853,2366
854,2377
855,1653
856,1552
857,1450
858,1462
859,1627
860,1695
861,1795
862,1994
863,2419
864,2457
865,2286
866,2166
867,1545
868,1519
869,1487
870,1437
871,1732
872,1684
873,2036
874,2184
875,2304
876,2376
877,2278
878,1656
879,1544
880,1605
881,1548
882,1612
883,1840
884,2171
885,2188
886,2259
887,2268
888,2291
889,1793
890,1568
891,1555
892,1522
893,1623
894,1835
895,1968
896,2133
897,2180
898,2429
899,2335
900,2098
901,1533
902,1529
903,1467
904,1507
905,1701
906,1942
907,2017
908,2294
909,2326
910,2157
911,2228
912,1466
913,1542
914,1411
915,1533
916,1637
917,1685
918,1983
919,2353
920,2489
921,2303
922,2234
923,1678
924,1480
925,1442
926,1497
927,1556
928,1831
929,1898
930,1887
931,2221
932,2162
933,2197
934,1838
935,1511
936,1476
937,1476
938,1535
939,1678
940,1771
941,2019
942,2333
943,2230
944,2010
945,1785
946,1431
947,1463
948,1425
949,1381
950,1703
951,1726
952,1926
953,2025
954,2172
955,2285
956,2146
957,1585
958,1483
959,1605
960,1458
961,1673
962,1679
963,1959
964,2320
965,2345
966,2127
967,2338
968,1582
969,1444
970,1401
971,1577
972,1625
973,1793
974,1982
975,2249
976,2466
977,2310
978,2404
979,1657
980,1506
981,1442
982,1475
983,1589
984,1627
985,2027
986,2271
987,2322
988,2475
989,2360
990,1612
991,1479
992,1406
993,1487
994,1587
995,1794
996,1851
997,2102
998,2092
999,2237
1000,2362
1001,1736
1002,1491
1003,1448
1004,1454
1005,1567
1006,1649
1007,1920
1008,1851
1009,2172
1010,2374
1011,2254
1012,2259
1013,1608
1014,1569
1015,1490
1016,1509
1017,1727
1018,1902
1019,2127
1020,2172
1021,2254
1022,2401
1023,2383
1024,1560
1025,1426
1026,1437
1027,1524
1028,1582
1029,1779
1030,2005
1031,2050
1032,2230
1033,2389
1034,2116
1035,1645
