F,I
462,974.25
463,937.8125
464,872.0625
465,813.875
466,688.5
467,741.6875
468,764.8125
469,818.375
470,933.3125
471,1018.3125
472,1091.0625
473,1179.625
474,1187.0625
475,1195.25
476,1180.625
477,1080.25
478,996.875
479,939.5625
480,863.4375
481,750.9375
482,691.8125
483,742.4375
484,816.9375
485,945
486,1032
487,1135.5
488,1175.75
489,1209.6875
490,1225.625
491,1211.125
492,1135.6875
493,1020.5
494,980.125
495,944.0625
496,880.6875
497,773.4375
498,692.4375
499,710
500,764.4375
501,871.4375
502,977.1875
503,1062.8125
504,1164.5625
505,1231.5
506,1212.625
507,1202
508,1170.375
509,1062.5
510,1004.625
511,962.125
512,904.6875
513,790.3125
514,700.5625
515,710
516,780.25
517,857.6875
518,948.375
519,1112.5
520,1146.125
521,1201.5625
522,1208.1875
523,1216.375
524,1147.625
525,1084.75
526,1030.8125
527,982.125
528,925.6875
529,797.75
530,722.3125
531,724.125
532,795.8125
533,853.375
534,978.25
535,1065.5
536,1152.625
537,1219.1875
538,1219.625
539,1208.75
540,1180.5
541,1089.875
542,1029.1875
543,990.6875
544,926.9375
545,863.5625
546,753.75
547,719.5625
548,755.6875
549,799.1875
550,942.75
551,1058.4375
552,1141.75
553,1206.3125
554,1204.4375
555,1214.9375
556,1179.3125
557,1118.8125
558,1059.8125
559,997.5625
560,954.4375
561,912.875
562,898.875
563,781.125
564,705.875
565,708.125
566,787.5625
567,856.75
568,966.8125
569,1077.875
570,1169.875
571,1175.1875
572,1215.5625
573,1220.75
574,1145.125
575,1080.625
576,990.1875
577,1004.1875
578,889
579,825.8125
580,713.5625
581,733.4375
582,778.875
583,852.25
584,977.5625
585,1111.6875
586,1163.3125
587,1199
588,1232.1875
589,1212.5625
590,1169.5
591,1101.25
592,1042.625
593,969.4375
594,925.1875
595,849.25
596,731.5
597,704.75
598,791.5
599,836.75
600,945.4375
601,1073.875
602,1154.875
603,1210.375
604,1222.3125
605,1199.625
606,1182.875
607,1090.25
608,1010.875
609,990.125
610,921.625
611,849.5
612,727.5
613,699.625
614,771
615,831.6875
616,937.8125
617,1074.6875
618,1125.5
619,1204.375
620,1239.3125
621,1215.1875
622,1190.9375
623,1090.0625
624,1023.0625
625,978.5625
626,926.5
627,847.5
628,751.75
629,694.4375
630,755.875
631,807
632,904.375
633,1003.6875
634,1123.75
635,1185.625
636,1203.625
637,1227.125
638,1216.375
639,1131.375
640,1035.5
641,963.75
642,901.5625
643,865.8125
644,716.125
645,691.875
646,750.6875
647,817.9375
648,913
649,992
650,1101.125
651,1199
652,1232.8125
653,1175.25
654,1205
655,1128
656,1043.5
657,987.3125
658,951.3125
659,886.5
660,806.4375
661,714.375
662,707.875
663,791.375
664,861.375
665,975.8125
666,1059.25
667,1171.3125
668,1177.8125
669,1224.25
670,1183.125
671,1189.3125
672,1066
673,1045.8125
