Frame,Mean
1,2706
2,2822
3,2579
4,1601
5,1604
6,1581
7,1679
8,2090
9,2417
10,2618
11,2793
12,2807
13,2904
14,3062
15,2349
16,1620
17,1543
18,1660
19,1915
20,2084
21,2545
22,2683
23,2844
24,2888
25,2905
26,2972
27,1778
28,1663
29,1586
30,1664
31,2042
32,2391
33,2466
34,2555
35,2823
36,2699
37,2888
38,2564
39,1747
40,1566
41,1587
42,1766
43,2248
44,2316
45,2531
46,2896
47,2780
48,3031
49,2998
50,2153
51,1585
52,1535
53,1602
54,1857
55,2119
56,2193
57,2672
58,2820
59,2621
60,2817
61,2895
62,1911
63,1542
64,1478
65,1650
66,1871
67,2269
68,2672
69,2693
70,2715
71,2709
72,2849
73,2293
74,1599
75,1594
76,1730
77,1755
78,2173
79,2333
80,2486
81,2747
82,2793
83,2925
84,2963
85,2065
86,1622
87,1532
88,1634
89,1844
90,2192
91,2530
92,2725
93,2824
94,2738
95,2767
96,2553
97,1788
98,1554
99,1579
100,1740
101,2050
102,2331
103,2628
104,2707
105,2820
106,2849
107,2875
108,2414
109,1732
110,1540
111,1665
112,1761
113,2089
114,2366
115,2597
116,2847
117,2835
118,2832
119,3052
120,1934
121,1628
122,1554
123,1672
124,1775
125,2012
126,2410
127,2632
128,2821
129,2985
130,3037
131,2884
132,1830
133,1583
134,1691
135,1715
136,2173
137,2338
138,2572
139,2747
140,2913
141,2850
142,2824
143,2426
144,1681
145,1556
146,1690
147,1775
148,2066
149,2377
150,2506
151,2713
152,2939
153,2808
154,2865
155,2255
156,1603
157,1649
158,1570
159,1842
160,1983
161,2381
162,2574
163,2812
164,3020
165,2808
166,3024
167,1879
168,1639
169,1529
170,1613
171,1935
172,2088
173,2584
174,2773
175,2791
176,2821
177,2779
178,2861
179,1771
180,1516
181,1614
182,1706
183,1951
184,2327
185,2615
186,2880
187,2763
188,2754
189,2920
190,2178
191,1691
192,1492
193,1571
194,1815
195,2117
196,2447
197,2656
198,2618
199,2847
200,2890
201,3058
202,1839
203,1652
204,1563
205,1800
206,1922
207,2188
208,2393
209,2721
210,2757
211,2812
212,2850
213,2526
214,1631
215,1544
216,1717
217,1840
218,2046
219,2185
220,2525
221,2809
222,2947
223,2819
224,3175
225,2351
226,1544
227,1559
228,1598
229,1682
230,2011
231,2486
232,2589
233,2741
234,2830
235,2901
236,3101
237,2118
238,1622
239,1616
240,1704
241,1933
242,2136
243,2411
244,2809
245,2812
246,2810
247,2823
248,3054
249,1727
250,1570
251,1557
252,1742
253,1864
254,2298
255,2550
256,2850
257,2898
258,2784
259,2945
260,2406
261,1780
262,1532
263,1475
264,1846
265,2056
266,2384
267,2531
268,2763
269,2691
270,2790
271,2928
272,1876
273,1517
274,1679
275,1671
276,1924
277,2103
278,2524
279,2611
280,2851
281,2751
282,2861
283,2900
284,1800
285,1614
286,1645
287,1756
288,2002
289,2227
290,2551
291,2972
292,2914
293,2837
294,2993
295,2401
296,1733
297,1500
298,1548
299,1739
300,1920
301,2378
302,2484
303,2809
304,2818
305,2955
306,2886
307,2154
308,1604
309,1565
310,1679
311,1862
312,2013
313,2422
314,2798
315,2762
316,2851
317,2718
318,3022
319,1767
320,1643
321,1542
322,1716
323,1910
324,2269
325,2655
326,2693
327,2728
328,2704
329,2743
330,2644
331,1674
332,1617
333,1575
334,1677
335,1923
336,2206
337,2454
338,2715
339,2885
340,2793
341,2875
342,2181
343,1624
344,1633
345,1690
346,1717
347,2078
348,2512
349,2604
350,2811
351,2721
352,2925
353,2945
354,1898
355,1567
356,1486
357,1684
358,1843
359,2251
360,2506
361,2663
362,2851
363,2759
364,2848
365,2613
366,1675
367,1585
368,1704
369,1755
370,2053
371,2157
372,2519
373,2747
